Hilltop Holdings Price to Free Cash Flow Ratio Historical Data,Hilltop Holdings Price to Free Cash Flow Ratio Historical Data,Hilltop Holdings Price to Free Cash Flow Ratio Historical Data,Hilltop Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,32.49,,5.25
2024-06-30,31.11,$6.19,5.03
2024-03-31,30.98,$9.49,3.26
2023-12-31,34.64,$6.75,5.14
2023-09-30,27.75,$0.47,59.65
2023-06-30,30.62,$1.71,17.94
2023-03-31,28.73,$10.21,2.81
2022-12-31,28.92,$16.77,1.72
2022-09-30,23.82,$17.83,1.34
2022-06-30,25.43,$23.62,1.08
2022-03-31,27.9,$10.61,2.63
2021-12-31,33.19,$9.43,3.52
2021-09-30,30.76,$12.80,2.4
2021-06-30,34.15,$0.32,107.58
2021-03-31,31.91,$13.13,2.43
2020-12-31,25.62,$2.96,8.66
2020-09-30,19.1,$1.23,15.59
2020-06-30,17.05,$-5.02,0.0
2020-03-31,13.88,$-14.91,0.0
2019-12-31,22.79,$-4.99,0.0
2019-09-30,21.77,$-4.70,0.0
2019-06-30,19.31,$5.60,3.45
2019-03-31,16.51,$5.18,3.19
2018-12-31,16.06,$3.66,4.39
2018-09-30,18.1,$4.57,3.96
2018-06-30,19.74,$-2.03,0.0
2018-03-31,20.92,$-4.95,0.0
2017-12-31,22.52,$-3.28,0.0
2017-09-30,23.06,$-4.09,0.0
2017-06-30,23.19,$-2.48,0.0
2017-03-31,24.25,$2.06,11.75
2016-12-31,26.25,$-1.32,0.0
2016-09-30,19.74,$-1.71,0.0
2016-06-30,18.45,$-2.36,0.0
2016-03-31,16.59,$2.30,7.23
2015-12-31,16.89,$1.15,14.63
2015-09-30,17.41,$0.28,61.51
2015-06-30,21.17,$2.33,9.09
2015-03-31,17.08,$-3.41,0.0
2014-12-31,17.53,$-0.72,0.0
2014-09-30,17.62,$-1.01,0.0
2014-06-30,18.68,$1.15,16.19
2014-03-31,20.91,$4.13,5.06
2013-12-31,20.33,$4.26,4.77
2013-09-30,16.26,$6.90,2.36
2013-06-30,14.41,$1.81,7.97
2013-03-31,11.85,$3.54,3.35
2012-12-31,11.9,$1.69,7.05
2012-09-30,11.17,$-0.23,0.0
2012-06-30,9.06,$-0.09,0.0
2012-03-31,7.37,$-0.08,0.0
2011-12-31,7.43,$-0.06,0.0
2011-09-30,6.34,$0.08,80.4
2011-06-30,7.77,$0.18,42.73
2011-03-31,8.82,$0.27,32.48
2010-12-31,8.72,$0.20,44.68
2010-09-30,8.42,$0.09,94.8
2010-06-30,8.8,$0.26,33.47
2010-03-31,10.33,$0.09,117.87
2009-12-31,10.23,$0.29,35.83
