Century Aluminum Price to Free Cash Flow Ratio Historical Data,Century Aluminum Price to Free Cash Flow Ratio Historical Data,Century Aluminum Price to Free Cash Flow Ratio Historical Data,Century Aluminum Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.95,,0.0
2024-06-30,16.75,$-0.36,0.0
2023-12-31,12.14,$0.39,30.9
2023-09-30,7.19,$-0.17,0.0
2023-06-30,8.72,$-1.07,0.0
2023-03-31,10.0,$-1.12,0.0
2022-12-31,8.18,$-0.90,0.0
2024-03-31,15.39,$-0.58,0.0
2022-09-30,5.28,$-1.12,0.0
2022-06-30,7.37,$-0.20,0.0
2022-03-31,26.31,$-0.88,0.0
2021-12-31,16.56,$-1.63,0.0
2021-09-30,13.45,$-0.54,0.0
2021-06-30,12.89,$-1.61,0.0
2021-03-31,17.66,$-0.61,0.0
2020-12-31,11.03,$0.35,31.74
2020-09-30,7.12,$0.27,26.25
2020-06-30,7.13,$0.77,9.23
2020-03-31,3.62,$0.21,16.92
2019-12-31,7.52,$-0.47,0.0
2019-09-30,6.64,$-1.82,0.0
2019-06-30,6.91,$-2.29,0.0
2019-03-31,8.88,$-2.18,0.0
2018-12-31,7.31,$-1.32,0.0
2018-03-31,16.54,$0.05,339.63
2017-12-31,19.64,$0.39,50.68
2017-09-30,16.58,$1.90,8.71
2017-06-30,15.58,$0.15,105.06
2017-03-31,12.69,$-0.06,0.0
2016-12-31,8.56,$0.07,119.89
2018-09-30,11.97,$-1.24,0.0
2016-09-30,6.95,$-0.06,0.0
2016-06-30,6.33,$-0.42,0.0
2016-03-31,7.05,$-1.29,0.0
2015-12-31,4.42,$-0.26,0.0
2015-09-30,4.6,$0.88,5.24
2015-06-30,10.43,$2.22,4.7
2015-03-31,13.8,$3.16,4.37
2014-12-31,24.4,$1.71,14.3
2014-09-30,25.97,$0.09,298.16
2014-06-30,15.68,$-0.75,0.0
2014-03-31,13.21,$-0.98,0.0
2013-12-31,10.46,$-0.54,0.0
2013-09-30,8.03,$0.13,60.74
2013-06-30,9.28,$0.35,26.21
2013-03-31,7.74,$0.19,40.41
2012-12-31,8.76,$0.07,132.95
2012-09-30,7.16,$-0.29,0.0
2012-06-30,7.33,$-0.23,0.0
2012-03-31,8.88,$-0.14,0.0
2011-12-31,8.51,$-0.23,0.0
2011-09-30,8.94,$0.27,32.76
2011-06-30,15.65,$1.53,10.24
2011-03-31,18.68,$0.47,39.4
2010-12-31,15.53,$1.06,14.58
2010-09-30,13.17,$1.03,12.75
2018-06-30,15.75,$-0.38,0.0
2010-06-30,8.83,$0.57,15.49
2010-03-31,13.76,$-0.49,0.0
2009-12-31,16.19,$0.30,54.29
