Easterly Government Properties Price to Free Cash Flow Ratio Historical Data,Easterly Government Properties Price to Free Cash Flow Ratio Historical Data,Easterly Government Properties Price to Free Cash Flow Ratio Historical Data,Easterly Government Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.42,,0.0
2024-06-30,12.13,$-0.74,0.0
2024-03-31,11.04,$-0.04,0.0
2023-12-31,12.6,$0.05,233.38
2023-09-30,10.47,$3.06,3.42
2023-06-30,13.02,$2.93,4.44
2023-03-31,12.11,$2.13,5.7
2022-12-31,12.36,$2.20,5.63
2022-09-30,13.43,$-1.11,0.0
2022-06-30,15.98,$-1.11,0.0
2022-03-31,17.5,$-0.59,0.0
2021-12-31,18.74,$-1.34,0.0
2021-09-30,16.69,$-1.33,0.0
2021-06-30,16.83,$-1.57,0.0
2021-03-31,16.34,$-2.20,0.0
2020-12-31,17.63,$-1.84,0.0
2020-09-30,17.23,$-1.93,0.0
2020-06-30,17.59,$-1.73,0.0
2020-03-31,18.54,$2.82,6.57
2019-12-31,17.68,$0.85,20.74
2019-09-30,15.69,$-2.99,0.0
2019-06-30,13.17,$-3.45,0.0
2018-12-31,11.09,$-7.35,0.0
2018-09-30,13.49,$-11.01,0.0
2018-06-30,13.59,$-8.66,0.0
2018-03-31,13.85,$-9.90,0.0
2017-12-31,14.3,$-14.82,0.0
2019-03-31,12.92,$-9.85,0.0
2017-09-30,13.68,$-8.29,0.0
2017-06-30,13.69,$-5.84,0.0
2017-03-31,12.78,$-3.70,0.0
2016-12-31,12.78,$-3.80,0.0
2016-09-30,12.03,$-8.07,0.0
2016-06-30,12.29,$-9.21,0.0
2016-03-31,11.4,$-5.88,0.0
2015-12-31,10.45,$-6.57,0.0
