Cheesecake Factory Price to Free Cash Flow Ratio Historical Data,Cheesecake Factory Price to Free Cash Flow Ratio Historical Data,Cheesecake Factory Price to Free Cash Flow Ratio Historical Data,Cheesecake Factory Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,42.12,,36.69
2024-06-30,38.99,$1.15,33.96
2024-03-31,35.62,$1.43,24.95
2023-12-31,34.24,$1.36,25.13
2023-09-30,29.39,$1.59,18.43
2023-06-30,33.28,$0.97,34.49
2023-03-31,33.46,$1.44,23.26
2022-12-31,30.05,$0.98,30.63
2022-09-30,27.54,$2.06,13.36
2022-06-30,24.63,$1.69,14.57
2022-03-31,36.8,$2.77,13.28
2021-12-31,36.21,$3.01,12.03
2021-09-30,43.47,$1.91,22.81
2021-06-30,50.11,$2.53,19.8
2021-03-31,54.12,$0.36,150.75
2020-12-31,34.28,$-1.08,0.0
2020-09-30,25.66,$0.06,397.19
2020-06-30,21.2,$0.56,38.1
2020-03-31,15.8,$1.69,9.33
2019-12-31,35.54,$3.26,10.92
2019-09-30,37.8,$3.42,11.05
2019-06-30,39.29,$3.38,11.62
2019-03-31,43.66,$3.57,12.21
2018-12-31,38.56,$4.08,9.46
2018-09-30,47.14,$2.98,15.82
2018-06-30,48.16,$2.93,16.44
2018-03-31,41.95,$2.81,14.91
2017-12-31,41.66,$2.45,17.0
2017-09-30,36.19,$2.62,13.79
2017-06-30,42.94,$3.11,13.8
2017-03-31,53.87,$3.45,15.6
2016-12-31,50.71,$4.06,12.48
2016-09-30,42.2,$3.96,10.67
2016-06-30,40.39,$3.01,13.4
2016-03-31,44.38,$2.24,19.77
2015-12-31,38.39,$1.85,20.71
2015-09-30,44.74,$2.04,21.95
2015-06-30,45.06,$2.41,18.71
2015-03-31,40.62,$2.35,17.27
2014-12-31,41.29,$2.44,16.95
2014-09-30,37.21,$1.72,21.61
2014-06-30,37.82,$2.14,17.71
2014-03-31,38.68,$2.14,18.09
2013-12-31,39.09,$1.81,21.58
2013-09-30,35.48,$2.40,14.79
2013-06-30,33.71,$2.18,15.48
2013-03-31,30.98,$2.09,14.85
2012-12-31,26.16,$1.97,13.26
2012-09-30,28.49,$1.90,14.99
2012-06-30,25.37,$1.68,15.08
2012-03-31,23.33,$1.80,12.95
2011-12-31,23.3,$2.05,11.36
2011-09-30,19.57,$1.97,9.96
2011-06-30,24.91,$2.21,11.3
2011-03-31,23.89,$2.12,11.27
2010-12-31,24.34,$2.07,11.75
2010-09-30,21.02,$2.02,10.4
2010-06-30,17.67,$2.20,8.04
2010-03-31,21.48,$2.84,7.57
2009-12-31,17.14,$2.69,6.37
