Amphastar Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Amphastar Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Amphastar Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Amphastar Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,49.71,,14.61
2024-06-30,40.0,$3.40,11.76
2024-03-31,43.91,$3.02,14.52
2023-12-31,61.85,$2.74,22.55
2023-09-30,45.99,$2.61,17.65
2023-06-30,57.47,$1.91,30.1
2023-03-31,37.5,$0.99,38.0
2022-12-31,28.02,$1.25,22.4
2022-09-30,28.1,$1.75,16.05
2022-06-30,34.79,$1.36,25.5
2022-03-31,35.9,$1.97,18.24
2021-12-31,23.29,$1.42,16.44
2021-09-30,19.01,$0.90,21.17
2021-06-30,20.16,$1.06,19.06
2021-03-31,18.32,$0.92,19.84
2020-12-31,20.11,$0.48,42.19
2020-09-30,18.75,$0.26,71.35
2020-06-30,22.46,$-0.21,0.0
2020-03-31,14.84,$0.23,64.92
2019-12-31,19.29,$0.00,0.0
2019-09-30,19.83,$0.06,355.38
2019-06-30,21.11,$0.54,38.76
2019-03-31,20.43,$-0.46,0.0
2018-12-31,19.9,$-0.18,0.0
2018-09-30,19.24,$-0.18,0.0
2018-06-30,15.26,$-0.45,0.0
2018-03-31,18.75,$-0.32,0.0
2017-12-31,19.24,$0.09,226.35
2017-09-30,17.87,$0.28,64.56
2017-06-30,17.86,$0.41,43.68
2017-03-31,14.5,$0.46,31.3
2016-12-31,18.42,$0.36,50.94
2016-09-30,18.97,$0.16,119.99
2016-06-30,16.12,$0.20,81.46
2016-03-31,12.0,$0.16,75.61
2015-12-31,14.23,$-0.12,0.0
2015-09-30,11.69,$-0.02,0.0
2015-06-30,17.58,$0.24,73.1
2015-03-31,14.96,$-0.05,0.0
