Lantheus Holdings Price to Free Cash Flow Ratio Historical Data,Lantheus Holdings Price to Free Cash Flow Ratio Historical Data,Lantheus Holdings Price to Free Cash Flow Ratio Historical Data,Lantheus Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,115.65,,16.24
2024-06-30,80.29,$7.12,11.27
2024-03-31,62.24,$5.42,11.48
2023-12-31,62.0,$5.08,12.21
2023-09-30,69.48,$5.10,13.63
2023-06-30,83.92,$3.46,24.27
2023-03-31,82.56,$5.09,16.21
2022-12-31,50.96,$3.75,13.58
2022-09-30,70.33,$2.46,28.64
2022-06-30,66.03,$1.26,52.55
2022-03-31,55.31,$0.64,86.6
2021-12-31,28.89,$0.85,33.85
2021-09-30,25.68,$0.68,37.81
2021-06-30,27.64,$0.71,39.18
2021-03-31,21.37,$0.25,86.66
2020-12-31,13.49,$0.07,186.33
2020-09-30,12.67,$0.55,22.96
2020-06-30,14.3,$1.07,13.35
2020-03-31,12.76,$1.62,7.86
2019-12-31,20.51,$1.45,14.11
2019-09-30,25.07,$1.26,19.92
2019-06-30,28.3,$1.17,24.1
2019-03-31,24.48,$1.11,22.09
2018-12-31,15.65,$1.06,14.7
2018-09-30,14.95,$1.00,14.9
2018-06-30,14.55,$0.83,17.61
2018-03-31,15.9,$0.92,17.31
2017-12-31,20.45,$0.99,20.68
2017-09-30,17.8,$1.11,16.04
2017-06-30,17.65,$1.19,14.83
2017-03-31,12.5,$1.28,9.79
2016-12-31,8.6,$1.62,5.31
2016-09-30,8.28,$1.64,5.05
2016-06-30,3.67,$1.40,2.63
2016-03-31,1.89,$0.72,2.63
