National Health Investors Price to Free Cash Flow Ratio Historical Data,National Health Investors Price to Free Cash Flow Ratio Historical Data,National Health Investors Price to Free Cash Flow Ratio Historical Data,National Health Investors Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,76.54,,17.15
2024-06-30,67.0,$4.46,15.01
2024-03-31,61.34,$-2.37,0.0
2023-12-31,53.74,$-2.30,0.0
2023-09-30,48.65,$-1.15,0.0
2023-06-30,48.79,$0.89,54.57
2022-12-31,46.96,$7.66,6.13
2022-09-30,49.97,$15.43,3.24
2022-06-30,52.72,$13.03,4.04
2022-03-31,50.58,$14.37,3.52
2021-12-31,48.53,$14.29,3.4
2023-03-31,47.2,$6.80,6.94
2021-09-30,44.47,$7.97,5.58
2021-06-30,54.83,$4.49,12.22
2021-03-31,58.31,$4.40,13.25
2020-12-31,54.97,$3.47,15.85
2020-09-30,47.15,$3.25,14.52
2020-06-30,46.65,$3.22,14.48
2020-03-31,37.36,$-0.08,0.0
2019-12-31,60.21,$0.09,698.49
2019-09-30,60.11,$0.09,650.5
2019-06-30,56.22,$0.30,186.33
2019-03-31,55.83,$1.10,50.88
2018-12-31,52.99,$1.43,37.04
2018-09-30,52.33,$1.07,49.12
2018-06-30,50.33,$0.87,57.74
2018-03-31,45.36,$3.18,14.28
2017-12-31,50.07,$0.55,90.56
2017-09-30,50.7,$-0.95,0.0
2017-06-30,51.33,$-1.61,0.0
2017-03-31,46.51,$-7.40,0.0
2016-12-31,46.88,$-4.86,0.0
2016-09-30,49.0,$-3.04,0.0
2016-06-30,46.36,$-4.88,0.0
2016-03-31,40.58,$1.13,35.98
2015-12-31,36.64,$1.33,27.64
2015-09-30,34.13,$-12.60,0.0
2015-06-30,36.45,$-10.57,0.0
2015-03-31,40.99,$-11.29,0.0
2014-12-31,39.91,$-28.97,0.0
2014-06-30,34.84,$-16.31,0.0
2014-03-31,33.26,$-19.16,0.0
2013-12-31,30.47,$-18.65,0.0
2013-09-30,30.5,$-0.35,0.0
2013-06-30,31.69,$0.44,71.4
2013-03-31,34.21,$1.60,21.33
2014-09-30,32.24,$0.87,36.85
2012-12-31,29.13,$-0.05,0.0
2012-09-30,26.19,$-1.68,0.0
2012-06-30,25.6,$-0.05,0.0
2012-03-31,24.21,$0.13,187.94
2011-12-31,21.54,$0.36,59.74
2011-09-30,20.23,$1.86,10.89
2011-06-30,21.03,$2.07,10.17
2011-03-31,22.37,$2.38,9.4
2010-12-31,20.74,$-0.54,0.0
2010-09-30,20.03,$-1.19,0.0
2010-06-30,17.3,$-1.77,0.0
2010-03-31,17.14,$-3.11,0.0
2009-12-31,16.11,$-0.45,0.0
