Yelp Price to Free Cash Flow Ratio Historical Data,Yelp Price to Free Cash Flow Ratio Historical Data,Yelp Price to Free Cash Flow Ratio Historical Data,Yelp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,34.84,,9.53
2024-06-30,36.95,$3.66,10.11
2024-03-31,39.4,$3.75,10.5
2023-12-31,47.34,$3.80,12.47
2023-09-30,41.59,$3.23,12.88
2023-06-30,36.41,$2.81,12.94
2023-03-31,30.7,$2.40,12.81
2022-12-31,27.34,$2.18,12.52
2022-09-30,33.91,$2.22,15.3
2022-06-30,27.77,$2.01,13.84
2022-03-31,34.11,$2.39,14.3
2021-12-31,36.24,$2.35,15.45
2021-09-30,37.24,$2.45,15.2
2021-06-30,39.96,$2.64,15.14
2021-03-31,39.0,$2.21,17.62
2020-12-31,32.67,$1.98,16.48
2020-09-30,20.09,$1.95,10.33
2020-06-30,23.13,$1.70,13.61
2020-03-31,18.03,$2.24,8.05
2019-12-31,34.83,$2.15,16.24
2019-09-30,34.75,$1.99,17.45
2019-06-30,34.18,$1.90,18.02
2019-03-31,34.5,$1.40,24.56
2018-12-31,34.99,$1.30,26.94
2018-09-30,49.2,$1.27,38.76
2018-06-30,39.18,$1.22,32.03
2018-03-31,41.75,$1.41,29.53
2017-12-31,41.96,$1.58,26.62
2017-09-30,43.3,$1.75,24.72
2017-06-30,30.02,$1.58,19.03
2017-03-31,32.75,$1.42,23.02
2016-12-31,38.13,$1.16,32.81
2016-09-30,41.7,$0.58,72.32
2016-06-30,30.36,$0.27,111.7
2016-03-31,19.88,$0.21,95.21
2015-12-31,28.8,$0.19,148.3
2015-09-30,21.66,$0.25,85.65
2015-06-30,43.03,$0.38,112.38
2015-03-31,47.35,$0.34,140.13
2014-12-31,54.73,$0.23,239.31
2014-09-30,68.25,$0.25,269.66
2014-06-30,76.68,$0.15,519.51
2014-03-31,76.93,$0.05,1422.0
2013-12-31,68.95,$-0.07,0.0
2013-09-30,66.18,$-0.11,0.0
2013-03-31,23.71,$-0.11,0.0
2012-12-31,18.85,$-0.19,0.0
2012-09-30,27.05,$-0.15,0.0
