Penumbra Price to Free Cash Flow Ratio Historical Data,Penumbra Price to Free Cash Flow Ratio Historical Data,Penumbra Price to Free Cash Flow Ratio Historical Data,Penumbra Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,202.26,,71.96
2024-06-30,179.97,$2.81,64.03
2024-03-31,223.18,$2.66,84.0
2023-12-31,251.54,$2.07,121.59
2023-09-30,241.91,$1.20,201.66
2023-06-30,344.06,$-0.00,0.0
2023-03-31,278.69,$-1.50,0.0
2022-12-31,222.46,$-1.98,0.0
2022-09-30,189.6,$-2.38,0.0
2022-06-30,124.52,$-1.06,0.0
2022-03-31,222.13,$-0.06,0.0
2021-12-31,287.32,$-0.31,0.0
2021-09-30,266.5,$0.66,402.39
2021-06-30,274.06,$-0.34,0.0
2021-03-31,270.58,$-0.98,0.0
2020-12-31,175.0,$-0.93,0.0
2020-09-30,194.38,$-1.53,0.0
2020-06-30,178.82,$-0.95,0.0
2020-03-31,161.33,$-0.19,0.0
2019-12-31,164.27,$0.13,1311.01
2019-09-30,134.49,$0.32,424.93
2019-06-30,160.0,$0.20,809.72
2019-03-31,147.01,$0.19,783.64
2018-12-31,122.2,$0.53,229.61
2018-09-30,149.7,$0.24,614.53
2018-06-30,138.15,$0.24,578.03
2018-03-31,115.65,$0.26,452.46
2017-12-31,94.1,$0.00,0.0
2017-09-30,90.3,$-0.32,0.0
2017-06-30,87.75,$-0.51,0.0
2017-03-31,83.45,$1.02,81.93
2016-12-31,63.8,$0.89,71.51
2016-09-30,75.99,$-0.19,0.0
2016-06-30,59.5,$-0.36,0.0
