Clorox Price to Free Cash Flow Ratio Historical Data,Clorox Price to Free Cash Flow Ratio Historical Data,Clorox Price to Free Cash Flow Ratio Historical Data,Clorox Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,158.31,,40.91
2024-06-30,135.33,$3.87,34.97
2024-03-31,150.59,$4.57,32.96
2023-12-31,139.08,$5.86,23.75
2023-09-30,126.59,$6.39,19.8
2023-06-30,152.48,$7.49,20.36
2023-03-31,150.64,$6.79,22.19
2022-12-31,132.48,$5.82,22.77
2022-09-30,120.2,$5.47,21.97
2022-06-30,130.92,$4.32,30.32
2022-03-31,128.09,$4.41,29.02
2021-12-31,159.58,$4.61,34.65
2021-09-30,150.49,$4.90,30.74
2021-06-30,162.45,$7.42,21.88
2021-03-31,173.18,$10.29,16.82
2020-12-31,180.35,$10.80,16.7
2020-09-30,186.75,$10.86,17.2
2020-06-30,193.98,$10.12,19.17
2020-03-31,152.35,$7.55,20.17
2019-12-31,134.11,$6.32,21.23
2019-09-30,131.71,$6.04,21.8
2019-06-30,131.94,$6.06,21.79
2019-03-31,137.42,$6.12,22.44
2018-12-31,131.17,$6.95,18.88
2018-09-30,127.2,$6.05,21.01
2018-06-30,113.57,$5.94,19.11
2018-03-31,110.85,$5.79,19.15
2017-12-31,123.15,$5.43,22.66
2017-09-30,108.49,$5.58,19.43
2017-06-30,108.89,$4.82,22.6
2017-03-31,109.54,$4.51,24.3
2016-12-31,96.87,$4.88,19.85
2016-09-30,100.36,$-0.20,0.0
2016-06-30,110.29,$1.53,72.14
2016-03-31,99.86,$0.90,110.55
2015-12-31,99.85,$-0.74,0.0
2015-06-30,80.82,$5.64,14.33
2015-03-31,85.19,$6.95,12.26
2014-12-31,79.87,$6.42,12.45
2014-09-30,73.06,$7.91,9.24
2014-06-30,68.97,$6.25,11.04
2015-09-30,90.39,$3.51,25.72
2014-03-31,65.89,$4.38,15.05
2013-12-31,68.89,$3.83,18.0
2013-09-30,60.21,$4.37,13.77
2013-06-30,60.76,$4.40,13.81
2013-03-31,64.24,$4.24,15.15
2012-12-31,52.69,$4.21,12.52
2012-09-30,51.4,$3.64,14.12
2012-06-30,51.24,$3.17,16.14
2012-03-31,48.2,$3.17,15.18
2011-12-31,46.26,$3.07,15.06
2011-09-30,45.7,$3.30,13.86
2011-06-30,46.08,$3.40,13.54
2011-03-31,47.5,$3.81,12.47
2010-12-31,42.52,$4.15,10.26
2010-09-30,44.5,$4.75,9.37
2010-06-30,41.09,$4.37,9.41
2010-03-31,42.07,$4.16,10.11
2009-12-31,39.68,$5.07,7.83
