LXP Industrial Trust Price to Free Cash Flow Ratio Historical Data,LXP Industrial Trust Price to Free Cash Flow Ratio Historical Data,LXP Industrial Trust Price to Free Cash Flow Ratio Historical Data,LXP Industrial Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,9.83,,10.83
2024-03-31,8.78,$0.91,9.67
2023-12-31,9.52,$0.99,9.58
2023-09-30,8.43,$1.69,4.98
2023-06-30,9.11,$0.66,13.78
2023-03-31,9.51,$1.00,9.49
2022-12-31,9.13,$1.14,8.04
2024-06-30,9.0,$0.31,29.44
2022-09-30,8.24,$3.03,2.72
2022-06-30,9.54,$2.69,3.55
2022-03-31,13.79,$2.97,4.64
2021-12-31,13.61,$3.25,4.19
2021-09-30,11.03,$1.75,6.3
2021-06-30,10.25,$1.88,5.46
2021-03-31,9.45,$1.55,6.08
2020-12-31,8.94,$1.41,6.36
2020-09-30,8.71,$1.78,4.89
2020-06-30,8.71,$2.57,3.39
2020-03-31,8.11,$2.59,3.14
2019-12-31,8.59,$2.85,3.01
2019-09-30,8.21,$2.57,3.19
2019-06-30,7.46,$4.46,1.67
2019-03-31,7.1,$4.62,1.54
2018-12-31,6.37,$4.57,1.39
2018-09-30,6.3,$4.30,1.46
2018-06-30,6.48,$1.75,3.72
2018-03-31,5.73,$-0.27,0.0
2017-12-31,6.87,$-0.20,0.0
2017-09-30,7.14,$0.38,18.96
2017-06-30,6.81,$0.54,12.72
2016-12-31,7.17,$2.55,2.81
2016-09-30,6.72,$3.00,2.24
2016-06-30,6.49,$2.65,2.45
2016-03-31,5.43,$2.67,2.04
2015-12-31,4.95,$2.70,1.84
2017-03-31,6.74,$1.97,3.43
2015-09-30,4.91,$2.21,2.22
2015-06-30,5.03,$2.10,2.4
2015-03-31,5.72,$1.90,3.01
2014-12-31,6.28,$1.90,3.31
2014-09-30,5.52,$1.29,4.28
2014-06-30,6.1,$1.17,5.21
2014-03-31,5.95,$1.14,5.21
2013-12-31,5.49,$1.11,4.94
2013-09-30,5.94,$1.12,5.31
2013-06-30,6.1,$1.13,5.41
2013-03-31,6.08,$1.47,4.15
2012-12-31,5.32,$1.50,3.55
2012-09-30,4.85,$1.78,2.73
2012-06-30,4.18,$1.68,2.49
2012-03-31,4.37,$1.26,3.48
2011-12-31,3.59,$1.78,2.02
2011-09-30,3.09,$1.48,2.09
2011-06-30,4.23,$2.02,2.1
2011-03-31,4.28,$-0.11,0.0
2010-12-31,3.59,$-0.31,0.0
2010-09-30,3.19,$-0.30,0.0
2010-06-30,2.64,$0.02,110.12
2009-12-31,2.59,$2.49,1.04
2009-09-30,2.14,$2.25,0.95
