Immatics Price to Free Cash Flow Ratio Historical Data,Immatics Price to Free Cash Flow Ratio Historical Data,Immatics Price to Free Cash Flow Ratio Historical Data,Immatics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,9.55,,0.0
2024-06-30,11.62,$-0.34,0.0
2024-03-31,10.51,$-0.20,0.0
2023-12-31,10.53,$-0.17,0.0
2023-09-30,11.58,$-1.76,0.0
2023-06-30,11.54,$-0.58,0.0
2023-03-31,6.9,$1.58,4.38
2022-09-30,10.0,$1.43,7.0
2022-06-30,8.71,$1.76,4.96
2022-03-31,7.99,$0.61,13.17
2021-12-31,13.44,$-1.63,0.0
2021-09-30,13.0,$-4.48,0.0
2021-06-30,11.61,$-1.45,0.0
2021-03-31,11.21,$13.10,0.86
2020-12-31,10.79,$-1.93,0.0
2022-12-31,8.71,$1.45,6.02
2020-09-30,10.61,$0.87,12.14
2020-06-30,15.74,$-13.27,0.0
2020-03-31,10.18,$2.08,4.89
2019-12-31,10.4,$2.08,4.99
2019-09-30,10.31,$-0.01,0.0
