Assured Guaranty Price to Free Cash Flow Ratio Historical Data,Assured Guaranty Price to Free Cash Flow Ratio Historical Data,Assured Guaranty Price to Free Cash Flow Ratio Historical Data,Assured Guaranty Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,87.58,,462.41
2024-06-30,76.84,$0.19,405.71
2024-03-31,86.55,$1.27,67.98
2023-12-31,73.98,$7.73,9.56
2023-09-30,59.58,$-5.09,0.0
2023-06-30,54.68,$-3.42,0.0
2023-03-31,48.99,$-20.40,0.0
2022-12-31,60.38,$-38.80,0.0
2022-09-30,46.79,$-31.10,0.0
2022-06-30,53.64,$-41.70,0.0
2022-03-31,60.94,$-33.29,0.0
2021-12-31,47.85,$-26.07,0.0
2021-09-30,44.44,$-26.32,0.0
2021-06-30,44.87,$-17.27,0.0
2021-03-31,39.77,$-14.14,0.0
2020-12-31,29.47,$-9.90,0.0
2020-09-30,19.98,$-9.29,0.0
2020-06-30,22.51,$-8.25,0.0
2020-03-31,23.59,$-3.66,0.0
2019-12-31,44.61,$-5.08,0.0
2019-09-30,40.31,$-2.79,0.0
2019-06-30,38.0,$-1.72,0.0
2019-03-31,39.95,$0.73,54.96
2018-12-31,34.42,$4.15,8.29
2018-09-30,37.82,$3.83,9.88
2018-06-30,31.88,$5.86,5.44
2018-03-31,32.15,$2.97,10.83
2017-12-31,29.94,$3.54,8.46
2017-09-30,33.25,$3.37,9.86
2017-06-30,36.64,$0.98,37.46
2017-03-31,32.46,$0.48,68.32
2016-12-31,32.92,$-0.98,0.0
2016-09-30,24.1,$-1.63,0.0
2016-06-30,21.93,$-1.52,0.0
2016-03-31,21.75,$-1.28,0.0
2015-12-31,22.61,$-0.48,0.0
2015-09-30,21.29,$1.01,21.02
2015-06-30,20.34,$2.78,7.32
2015-03-31,22.28,$2.92,7.63
2014-12-31,21.84,$3.32,6.57
2014-09-30,18.54,$2.55,7.27
2014-06-30,20.41,$1.89,10.79
2014-03-31,21.0,$1.92,10.91
2013-12-31,19.47,$1.30,14.97
2013-09-30,15.41,$1.07,14.35
2013-06-30,18.04,$-1.09,0.0
2013-03-31,16.79,$-1.35,0.0
2012-12-31,11.53,$-0.87,0.0
2012-09-30,10.96,$-0.77,0.0
2012-06-30,11.27,$1.08,10.44
2012-03-31,13.11,$4.71,2.78
2011-12-31,10.37,$3.64,2.85
2011-09-30,8.64,$4.51,1.92
2011-06-30,12.77,$5.44,2.35
2011-03-31,11.63,$1.27,9.15
2010-12-31,13.77,$0.68,20.17
2010-09-30,13.27,$-0.27,0.0
2010-06-30,10.27,$-1.34,0.0
2010-03-31,16.94,$-0.91,0.0
2009-12-31,16.74,$2.16,7.74
