Enova Price to Free Cash Flow Ratio Historical Data,Enova Price to Free Cash Flow Ratio Historical Data,Enova Price to Free Cash Flow Ratio Historical Data,Enova Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,87.86,,2.08
2024-06-30,62.25,$42.32,1.47
2024-03-31,62.83,$38.27,1.64
2023-12-31,55.36,$35.14,1.58
2023-09-30,50.87,$33.13,1.54
2023-06-30,53.12,$31.79,1.67
2023-03-31,44.43,$29.59,1.5
2022-12-31,38.37,$25.40,1.51
2022-09-30,29.27,$21.68,1.35
2022-06-30,28.82,$17.35,1.66
2022-03-31,37.97,$12.90,2.94
2021-12-31,40.96,$11.72,3.5
2021-09-30,34.55,$10.13,3.41
2021-06-30,34.21,$11.90,2.87
2021-03-31,35.48,$17.42,2.04
2020-12-31,24.77,$22.02,1.12
2020-09-30,16.39,$26.86,0.61
2020-06-30,14.87,$27.85,0.53
2020-03-31,14.49,$25.33,0.57
2019-12-31,24.06,$24.09,1.0
2019-09-30,20.75,$23.34,0.89
2019-06-30,23.05,$22.63,1.02
2019-03-31,22.82,$21.02,1.09
2018-12-31,19.46,$19.05,1.02
2018-09-30,28.8,$16.54,1.74
2018-06-30,36.55,$15.52,2.36
2018-03-31,22.05,$13.53,1.63
2017-12-31,15.2,$12.66,1.2
2017-09-30,13.45,$11.63,1.16
2017-06-30,14.85,$11.44,1.3
2017-03-31,14.85,$11.88,1.25
2016-12-31,12.55,$11.33,1.11
2016-09-30,9.68,$10.88,0.89
2016-06-30,7.36,$9.52,0.77
2016-03-31,6.31,$8.21,0.77
2015-12-31,6.61,$7.62,0.87
2015-09-30,10.22,$17.98,0.57
