KeyCorp Price to Free Cash Flow Ratio Historical Data,KeyCorp Price to Free Cash Flow Ratio Historical Data,KeyCorp Price to Free Cash Flow Ratio Historical Data,KeyCorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,17.06,,9.58
2024-06-30,14.04,$1.78,7.88
2024-03-31,15.4,$2.59,5.94
2023-12-31,13.82,$2.97,4.66
2023-09-30,10.15,$3.56,2.85
2023-06-30,8.55,$5.20,1.65
2023-03-31,11.36,$4.52,2.51
2022-12-31,15.62,$4.70,3.32
2022-09-30,14.21,$2.99,4.75
2022-06-30,15.12,$1.74,8.67
2022-03-31,19.45,$2.29,8.48
2021-12-31,19.94,$1.14,17.5
2021-09-30,18.48,$2.14,8.64
2021-06-30,17.49,$1.79,9.75
2021-03-31,16.79,$1.62,10.37
2020-12-31,13.67,$1.65,8.28
2020-09-30,9.82,$1.66,5.92
2020-06-30,9.88,$2.23,4.44
2020-03-31,8.28,$2.10,3.94
2019-12-31,15.99,$2.83,5.64
2019-09-30,13.96,$3.47,4.02
2019-06-30,13.73,$2.62,5.24
2019-03-31,12.06,$3.04,3.96
2018-12-31,11.2,$2.28,4.9
2018-09-30,14.94,$1.31,11.38
2018-06-30,14.56,$2.48,5.88
2018-03-31,14.48,$1.73,8.39
2017-12-31,14.86,$1.56,9.5
2017-09-30,13.79,$1.80,7.66
2017-06-30,13.66,$0.26,53.22
2017-03-31,12.89,$0.83,15.47
2016-12-31,13.19,$1.65,8.01
2016-09-30,8.74,$1.79,4.89
2016-06-30,7.88,$2.03,3.88
2016-03-31,7.82,$2.98,2.63
2015-12-31,9.28,$1.25,7.41
2015-09-30,9.1,$1.17,7.77
2015-06-30,10.45,$1.18,8.82
2015-03-31,9.8,$-0.06,0.0
2014-12-31,9.57,$1.39,6.87
2014-09-30,9.14,$1.17,7.82
2014-06-30,9.78,$0.88,11.17
2014-03-31,9.67,$1.51,6.39
2013-12-31,9.07,$1.59,5.69
2013-09-30,7.67,$1.52,5.05
2013-06-30,7.4,$1.73,4.29
2013-03-31,6.64,$2.62,2.53
2012-12-31,5.58,$1.20,4.64
2012-09-30,5.76,$0.44,13.06
2012-06-30,5.07,$0.73,6.92
2012-03-31,5.53,$0.12,44.8
2011-12-31,4.99,$1.72,2.89
2011-09-30,3.83,$2.66,1.44
2011-06-30,5.35,$2.66,2.01
2011-03-31,5.69,$2.42,2.35
2010-12-31,5.66,$2.93,1.93
2010-09-30,5.08,$3.55,1.43
2010-06-30,4.91,$3.35,1.47
2010-03-31,4.94,$4.17,1.19
2009-12-31,3.53,$3.02,1.17
