Visteon Price to Free Cash Flow Ratio Historical Data,Visteon Price to Free Cash Flow Ratio Historical Data,Visteon Price to Free Cash Flow Ratio Historical Data,Visteon Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,90.39,,26.03
2024-06-30,106.7,$3.47,30.73
2023-12-31,124.9,$4.98,25.07
2023-09-30,138.07,$4.93,28.02
2023-06-30,143.61,$2.70,53.11
2023-03-31,156.83,$3.60,43.54
2022-12-31,130.83,$2.67,48.97
2024-03-31,117.61,$-0.68,0.0
2022-09-30,106.06,$0.08,1380.99
2022-06-30,103.58,$-6.52,0.0
2022-03-31,109.13,$-2.40,0.0
2021-12-31,111.14,$2.38,46.63
2021-09-30,94.39,$-1.64,0.0
2020-12-31,125.52,$2.29,54.72
2020-09-30,69.22,$3.10,22.35
2020-06-30,68.5,$-1.67,0.0
2020-03-31,47.98,$1.13,42.55
2019-12-31,86.59,$2.62,33.1
2021-06-30,120.94,$-1.14,0.0
2019-09-30,82.54,$2.54,32.5
2019-06-30,58.58,$2.48,23.58
2019-03-31,67.35,$1.43,47.08
2018-12-31,60.28,$3.30,18.28
2018-09-30,92.9,$2.28,40.76
2021-03-31,121.95,$3.38,36.13
2018-06-30,129.24,$4.32,29.91
2018-03-31,110.24,$5.80,18.99
2017-12-31,125.14,$3.60,34.74
2017-09-30,123.77,$3.57,34.69
2017-06-30,102.06,$3.01,33.86
2017-03-31,97.95,$2.24,43.8
2016-12-31,80.34,$1.16,69.37
2016-09-30,71.66,$0.22,318.63
2016-06-30,65.81,$1.20,54.67
2016-03-31,79.59,$-1.02,0.0
2015-12-31,67.41,$3.72,18.12
2015-09-30,59.6,$2.37,25.19
2015-06-30,61.8,$0.58,106.06
2015-03-31,56.75,$0.51,111.69
2014-12-31,62.91,$-1.26,0.0
2014-09-30,57.25,$-0.87,0.0
2014-06-30,57.11,$-0.78,0.0
2014-03-31,52.06,$0.62,84.59
2013-12-31,48.21,$0.87,55.72
2013-09-30,44.53,$4.53,9.84
2013-06-30,37.16,$7.18,5.17
2013-03-31,33.97,$6.50,5.22
2012-12-31,31.68,$6.06,5.23
2012-09-30,26.17,$2.17,12.09
2012-06-30,22.08,$0.25,88.27
2011-12-31,29.4,$-1.60,0.0
2011-09-30,25.31,$-1.13,0.0
2011-06-30,40.27,$-1.35,0.0
