Bitdeer Technologies Group Price to Free Cash Flow Ratio Historical Data,Bitdeer Technologies Group Price to Free Cash Flow Ratio Historical Data,Bitdeer Technologies Group Price to Free Cash Flow Ratio Historical Data,Bitdeer Technologies Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,8.07,,0.0
2024-06-30,10.26,$-5.62,0.0
2024-03-31,7.02,$-3.60,0.0
2023-12-31,9.86,$-6.88,0.0
2023-06-30,11.2,$-5.48,0.0
2023-03-31,10.85,$-3.27,0.0
2022-12-31,10.42,$-3.28,0.0
2022-09-30,10.27,$0.33,31.52
2022-06-30,10.11,$-0.01,0.0
2022-03-31,10.06,$-0.01,0.0
