Huron Consulting Group Price to Free Cash Flow Ratio Historical Data,Huron Consulting Group Price to Free Cash Flow Ratio Historical Data,Huron Consulting Group Price to Free Cash Flow Ratio Historical Data,Huron Consulting Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,107.7,,24.21
2024-06-30,98.5,$4.45,22.14
2024-03-31,96.62,$-5.43,0.0
2023-12-31,102.8,$5.97,17.23
2023-09-30,104.16,$4.23,24.6
2023-06-30,84.91,$2.22,38.17
2022-12-31,72.6,$3.17,22.87
2022-09-30,66.25,$1.14,57.89
2022-06-30,64.99,$0.63,103.64
2022-03-31,45.81,$0.12,378.91
2021-12-31,49.9,$0.12,413.08
2021-09-30,52.0,$0.67,77.54
2021-06-30,49.15,$2.66,18.45
2021-03-31,50.38,$4.46,11.3
2020-12-31,58.95,$5.50,10.72
2020-09-30,39.33,$6.29,6.25
2020-06-30,44.25,$5.27,8.4
2020-03-31,45.36,$4.02,11.27
2019-12-31,68.72,$4.86,14.14
2019-09-30,61.34,$3.70,16.57
2019-06-30,50.38,$3.19,15.81
2019-03-31,47.22,$3.79,12.46
2018-12-31,51.31,$3.93,13.06
2018-09-30,49.4,$3.75,13.18
2018-06-30,40.9,$3.09,13.24
2018-03-31,38.1,$2.85,13.38
2017-12-31,40.45,$3.45,11.72
2017-09-30,34.3,$3.54,9.69
2017-06-30,43.2,$4.02,10.75
2017-03-31,42.1,$4.68,8.99
2016-12-31,50.65,$5.33,9.5
2016-09-30,59.76,$6.82,8.76
2016-06-30,60.42,$7.87,7.68
2016-03-31,58.19,$8.19,7.1
2015-12-31,59.4,$6.57,9.04
2015-09-30,62.53,$4.96,12.61
2015-06-30,70.09,$5.58,12.56
2015-03-31,66.15,$3.71,17.82
2014-12-31,68.39,$5.26,13.01
2014-09-30,60.97,$6.07,10.05
2014-06-30,70.82,$4.51,15.7
2014-03-31,63.38,$4.79,13.23
2013-12-31,62.67,$4.10,15.27
2013-09-30,52.61,$3.81,13.81
2013-06-30,46.24,$2.64,17.53
2013-03-31,40.32,$3.28,12.3
2012-12-31,33.69,$3.77,8.94
2012-09-30,34.82,$3.62,9.61
2012-06-30,31.65,$3.92,8.08
2012-03-31,37.56,$3.88,9.68
2011-12-31,38.74,$4.37,8.87
2011-09-30,31.13,$3.72,8.36
2011-06-30,30.21,$4.00,7.56
2011-03-31,27.69,$2.91,9.52
2010-12-31,26.45,$2.00,13.22
2010-09-30,21.99,$3.42,6.44
2010-06-30,19.41,$3.10,6.27
2010-03-31,20.3,$3.79,5.36
2009-12-31,23.04,$4.94,4.67
2009-09-30,25.83,$-3.29,0.0
