CAE Inc Price to Free Cash Flow Ratio Historical Data,CAE Inc Price to Free Cash Flow Ratio Historical Data,CAE Inc Price to Free Cash Flow Ratio Historical Data,CAE Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,19.0,,29.58
2024-06-30,18.58,$0.64,28.93
2024-03-31,20.64,$0.56,36.75
2023-12-31,21.59,$0.55,39.01
2023-09-30,23.35,$0.70,33.55
2023-06-30,22.38,$0.60,37.37
2023-03-31,22.63,$0.35,65.56
2022-12-31,19.34,$0.40,48.27
2022-09-30,15.33,$0.53,29.07
2022-06-30,24.62,$0.38,65.6
2022-03-31,26.08,$0.39,66.24
2021-12-31,25.24,$0.40,62.74
2021-09-30,29.87,$0.43,69.92
2021-06-30,30.8,$0.47,65.27
2021-03-31,28.49,$0.73,38.8
2020-12-31,27.74,$0.84,33.13
2020-09-30,14.62,$1.01,14.5
2020-06-30,16.19,$0.86,18.82
2020-03-31,12.62,$0.74,17.13
2019-12-31,26.35,$0.49,53.82
2019-09-30,25.21,$0.15,164.33
2019-06-30,26.57,$0.62,42.78
2019-03-31,21.84,$0.80,27.31
2018-12-31,18.03,$0.81,22.13
2018-09-30,19.89,$0.78,25.51
2018-06-30,20.26,$0.60,33.6
2018-03-31,18.07,$0.65,27.88
2017-12-31,17.98,$0.76,23.76
2017-09-30,16.91,$0.66,25.55
2017-06-30,16.55,$0.43,38.91
2017-03-31,14.63,$0.59,24.63
2016-12-31,13.31,$0.27,48.54
2016-09-30,13.51,$0.41,32.89
2016-06-30,11.42,$0.74,15.35
2016-03-31,10.89,$0.55,19.84
2015-12-31,10.38,$0.83,12.58
2015-09-30,9.89,$0.59,16.7
2015-06-30,11.05,$0.21,52.53
2015-03-31,10.75,$0.30,36.01
2014-12-31,11.94,$0.25,46.91
2014-09-30,11.08,$-0.04,0.0
2014-06-30,11.93,$0.40,29.56
2014-03-31,11.93,$0.49,24.43
2013-12-31,11.48,$0.63,18.21
2013-09-30,9.81,$1.00,9.78
2013-06-30,9.25,$0.63,14.79
2013-03-31,8.68,$0.22,39.12
2012-12-31,8.98,$0.17,51.68
2012-09-30,9.41,$-0.01,0.0
2012-06-30,8.48,$0.37,22.82
2012-03-31,8.92,$0.41,21.86
2011-12-31,8.43,$0.66,12.75
2011-09-30,8.06,$0.58,13.88
2011-06-30,11.6,$0.35,33.09
2011-03-31,11.43,$0.51,22.42
2010-12-31,9.88,$0.30,32.74
2010-09-30,8.8,$0.27,32.46
2010-06-30,7.41,$0.44,16.88
2010-03-31,8.29,$0.54,15.26
2009-12-31,6.95,$0.14,50.96
