Shell Price to Free Cash Flow Ratio Historical Data,Shell Price to Free Cash Flow Ratio Historical Data,Shell Price to Free Cash Flow Ratio Historical Data,Shell Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,67.34,,6.71
2024-06-30,72.18,$10.04,7.19
2024-03-31,67.04,$10.19,6.58
2023-12-31,65.8,$9.93,6.63
2023-09-30,64.38,$12.45,5.17
2023-06-30,60.38,$12.37,4.88
2023-03-31,57.54,$12.56,4.58
2022-12-31,56.95,$12.75,4.47
2022-09-30,49.76,$11.23,4.43
2022-06-30,51.81,$12.31,4.21
2022-03-31,53.96,$11.33,4.76
2021-12-31,42.26,$10.33,4.09
2021-09-30,42.93,$7.92,5.42
2021-06-30,38.92,$6.55,5.94
2021-03-31,37.44,$3.93,9.52
2020-12-31,33.27,$5.13,6.48
2020-09-30,23.83,$5.92,4.02
2020-06-30,30.95,$6.39,4.85
2020-03-31,32.69,$8.14,4.02
2019-12-31,55.25,$5.92,9.33
2019-09-30,55.13,$8.85,6.23
2019-06-30,60.96,$8.10,7.52
2019-03-31,57.79,$7.85,7.36
2018-12-31,53.0,$8.25,6.42
2018-09-30,61.05,$5.26,11.61
2018-06-30,61.15,$4.35,14.06
2018-03-31,56.36,$5.70,9.88
2017-12-31,58.08,$5.69,10.21
2017-09-30,51.95,$5.82,8.92
2017-06-30,45.61,$6.07,7.51
2017-03-31,45.22,$2.77,16.3
2016-12-31,46.63,$0.14,322.27
2016-09-30,42.15,$-1.18,0.0
2016-06-30,46.49,$-0.30,0.0
2016-03-31,40.03,$0.32,124.59
2015-12-31,37.83,$2.63,14.4
2015-09-30,38.44,$3.76,10.23
2015-06-30,46.24,$4.74,9.75
2015-03-31,48.38,$6.07,7.98
2014-12-31,53.53,$7.36,7.27
2014-09-30,60.87,$3.85,15.8
2014-06-30,65.85,$1.61,40.94
2014-03-31,57.72,$1.51,38.11
2013-12-31,55.59,$0.53,104.32
2013-09-30,50.54,$-2.79,0.0
2013-06-30,48.41,$-2.82,0.0
2013-03-31,48.79,$-1.47,0.0
2012-12-31,50.98,$0.24,213.12
2012-09-30,50.66,$8.02,6.32
2012-06-30,48.62,$9.48,5.13
2012-03-31,49.92,$9.33,5.35
2011-09-30,42.77,$6.72,6.36
2011-06-30,48.85,$4.82,10.15
2011-03-31,49.46,$3.70,13.36
2010-12-31,44.79,$1.22,36.81
2010-09-30,39.95,$0.40,100.29
2010-06-30,32.79,$0.85,38.41
2010-03-31,37.24,$-1.82,0.0
2009-12-31,38.09,$-1.21,0.0
