First Hawaiian Price to Free Cash Flow Ratio Historical Data,First Hawaiian Price to Free Cash Flow Ratio Historical Data,First Hawaiian Price to Free Cash Flow Ratio Historical Data,First Hawaiian Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,24.67,,15.96
2024-06-30,20.53,$1.55,13.29
2024-03-31,21.47,$1.80,11.92
2023-12-31,22.08,$1.94,11.41
2023-09-30,17.21,$2.57,6.69
2023-06-30,16.94,$3.58,4.73
2023-03-31,19.1,$3.53,5.41
2022-12-31,23.88,$3.40,7.03
2022-09-30,22.36,$3.32,6.74
2022-06-30,20.42,$2.49,8.19
2022-03-31,24.82,$2.44,10.18
2021-12-31,24.1,$3.09,7.79
2021-09-30,25.64,$3.00,8.55
2021-06-30,24.52,$2.53,9.7
2021-03-31,23.47,$3.02,7.77
2020-12-31,20.03,$1.36,14.74
2020-09-30,12.14,$1.45,8.36
2020-06-30,14.24,$1.73,8.23
2020-03-31,13.44,$1.10,12.25
2019-12-31,23.24,$2.01,11.57
2019-09-30,21.31,$1.57,13.56
2019-06-30,20.43,$2.03,10.08
2019-03-31,20.37,$2.35,8.66
2018-12-31,17.43,$2.31,7.56
2018-09-30,20.83,$2.26,9.22
2018-06-30,22.08,$2.05,10.79
2018-03-31,21.0,$1.82,11.54
2017-12-31,21.83,$1.92,11.34
2017-09-30,22.48,$1.79,12.55
2017-06-30,22.55,$2.59,8.71
