Alibaba Price to Free Cash Flow Ratio Historical Data,Alibaba Price to Free Cash Flow Ratio Historical Data,Alibaba Price to Free Cash Flow Ratio Historical Data,Alibaba Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,100.07,,13.04
2024-06-30,72.0,$7.68,9.38
2024-03-31,70.81,$8.21,8.62
2023-12-31,75.85,$10.54,7.19
2023-09-30,83.74,$11.81,7.09
2023-06-30,80.46,$11.59,6.94
2023-03-31,98.64,$11.06,8.92
2022-12-31,85.04,$9.05,9.4
2022-09-30,77.22,$8.61,8.97
2022-06-30,109.74,$8.27,13.27
2022-03-31,105.03,$8.27,12.7
2021-12-31,114.68,$9.95,11.52
2021-09-30,142.92,$11.25,12.7
2021-06-30,218.93,$12.20,17.95
2021-03-31,218.88,$12.90,16.97
2020-12-31,224.67,$10.84,20.73
2020-09-30,283.8,$10.18,27.89
2020-06-30,208.23,$9.60,21.7
2020-03-31,187.75,$8.92,21.04
2019-12-31,204.76,$8.96,22.86
2019-09-30,161.44,$7.35,21.98
2019-06-30,163.58,$6.58,24.88
2019-03-31,176.13,$6.74,26.13
2018-12-31,132.32,$6.91,19.14
2018-09-30,159.06,$7.24,21.98
2018-06-30,179.11,$6.71,26.69
2018-03-31,177.18,$6.07,29.19
2017-12-31,166.46,$6.47,25.72
2017-09-30,166.73,$4.54,36.72
2017-06-30,136.02,$4.41,30.88
2017-03-31,104.1,$3.85,27.07
2016-12-31,84.77,$3.86,21.95
2016-09-30,102.13,$3.42,29.82
2016-06-30,76.78,$3.34,22.99
2016-03-31,76.29,$3.11,24.52
2015-12-31,78.46,$3.29,23.83
2015-09-30,56.93,$3.03,18.78
2015-06-30,79.42,$3.00,26.47
