Braskem S.A Price to Free Cash Flow Ratio Historical Data,Braskem S.A Price to Free Cash Flow Ratio Historical Data,Braskem S.A Price to Free Cash Flow Ratio Historical Data,Braskem S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.42,,0.0
2024-06-30,6.45,$-1.66,0.0
2024-03-31,10.53,$-1.42,0.0
2023-12-31,8.82,$-3.38,0.0
2023-09-30,8.21,$-2.88,0.0
2023-06-30,11.65,$-0.48,0.0
2023-03-31,7.7,$0.25,31.38
2022-06-30,14.28,$4.55,3.14
2022-03-31,18.0,$4.73,3.81
2021-12-31,20.36,$5.30,3.84
2021-09-30,18.54,$5.60,3.31
2021-06-30,20.25,$3.45,5.87
2021-03-31,12.08,$2.09,5.77
2020-12-31,7.65,$1.74,4.4
2020-09-30,6.34,$0.32,20.12
2020-06-30,7.35,$-0.03,0.0
2020-03-31,5.64,$0.05,106.0
2019-12-31,12.57,$-0.26,0.0
2019-09-30,16.13,$0.08,197.65
2019-06-30,16.13,$0.86,18.67
2019-03-31,19.75,$3.87,5.1
2018-12-31,18.71,$4.56,4.1
2018-09-30,22.08,$4.64,4.76
2018-06-30,19.89,$4.52,4.4
2018-03-31,21.26,$1.03,20.73
2017-12-31,19.26,$0.18,107.28
2017-09-30,19.06,$0.55,34.48
2017-06-30,14.77,$1.77,8.34
2017-03-31,14.51,$2.66,5.46
2016-12-31,15.12,$2.42,6.24
2016-09-30,10.43,$1.09,9.58
2016-06-30,8.03,$2.15,3.73
2016-03-31,8.28,$1.87,4.43
2015-12-31,8.68,$3.12,2.78
2015-09-30,5.4,$1.61,3.35
2015-06-30,5.55,$-1.40,0.0
2015-03-31,4.23,$-1.98,0.0
2014-12-31,7.86,$-4.27,0.0
2014-09-30,8.02,$-5.58,0.0
2014-06-30,7.82,$-7.93,0.0
2014-03-31,9.16,$-5.69,0.0
2013-12-31,10.47,$-5.96,0.0
2013-09-30,9.36,$-3.04,0.0
2013-06-30,8.73,$-0.21,0.0
2013-03-31,7.94,$-2.30,0.0
2012-12-31,7.83,$-0.14,0.0
2012-09-30,8.28,$-0.53,0.0
2012-06-30,7.81,$0.23,34.56
2012-03-31,8.93,$1.91,4.67
2011-12-31,7.91,$0.82,9.64
2011-09-30,8.76,$1.30,6.72
2011-06-30,16.31,$1.00,16.31
2011-03-31,14.51,$0.06,261.47
2010-12-31,13.53,$1.43,9.45
2010-09-30,11.06,$1.48,7.46
2010-06-30,7.62,$1.09,6.98
2010-03-31,7.79,$2.53,3.08
2009-12-31,8.83,$1.05,8.38
