Grocery Outlet Holding Price to Free Cash Flow Ratio Historical Data,Grocery Outlet Holding Price to Free Cash Flow Ratio Historical Data,Grocery Outlet Holding Price to Free Cash Flow Ratio Historical Data,Grocery Outlet Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,17.52,,240.99
2024-06-30,22.12,$0.07,304.26
2024-03-31,28.78,$0.40,71.4
2023-12-31,26.96,$1.33,20.21
2023-09-30,28.85,$1.62,17.76
2023-06-30,30.61,$1.19,25.7
2023-03-31,28.26,$1.05,26.87
2022-12-31,29.19,$0.55,53.09
2022-09-30,33.29,$0.44,75.47
2022-06-30,42.63,$0.48,89.5
2022-03-31,32.78,$0.57,57.57
2021-12-31,28.28,$0.42,66.56
2021-09-30,21.57,$0.96,22.39
2021-06-30,34.66,$0.38,91.5
2021-03-31,36.89,$0.05,679.37
2020-12-31,39.25,$0.57,68.28
2020-09-30,39.32,$0.22,180.2
2020-06-30,40.8,$0.84,48.36
2020-03-31,34.34,$0.86,39.87
