International Game Technology Price to Free Cash Flow Ratio Historical Data,International Game Technology Price to Free Cash Flow Ratio Historical Data,International Game Technology Price to Free Cash Flow Ratio Historical Data,International Game Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,20.65,,5.35
2024-06-30,20.27,$3.86,5.26
2024-03-31,22.38,$2.34,9.57
2023-12-31,26.91,$3.24,8.31
2023-09-30,29.54,$2.70,10.94
2023-06-30,30.88,$2.58,11.97
2023-03-31,25.74,$3.48,7.39
2022-12-31,21.6,$2.98,7.26
2022-09-30,14.92,$3.63,4.12
2022-06-30,17.37,$3.07,5.65
2022-03-31,22.87,$3.41,6.71
2021-12-31,26.54,$3.68,7.21
2021-09-30,23.99,$3.09,7.76
2021-06-30,21.84,$3.85,5.67
2021-03-31,14.63,$3.48,4.2
2020-12-31,15.44,$3.03,5.1
2020-09-30,10.15,$3.40,2.99
2020-06-30,8.11,$2.95,2.75
2020-03-31,5.42,$4.35,1.25
2019-12-31,13.15,$4.11,3.2
2019-09-30,12.32,$0.92,13.37
2019-06-30,11.06,$0.36,30.6
2019-03-31,10.91,$-1.96,0.0
2018-12-31,12.1,$-2.37,0.0
2018-09-30,16.12,$0.02,866.65
2018-06-30,18.79,$-0.57,0.0
2018-03-31,21.43,$-1.01,0.0
2017-12-31,21.11,$0.65,32.28
2017-09-30,19.41,$-1.82,0.0
2017-06-30,14.32,$-1.55,0.0
2017-03-31,18.35,$0.32,56.6
2016-12-31,19.59,$-0.37,0.0
2016-09-30,18.57,$4.41,4.21
2016-06-30,14.14,$5.05,2.8
2016-03-31,13.63,$3.89,3.5
2015-12-31,11.95,$4.74,2.52
2015-06-30,12.79,$2.73,4.69
2015-03-31,12.54,$4.13,3.04
2014-12-31,12.42,$4.23,2.94
2014-09-30,12.15,$1.65,7.35
2014-06-30,11.46,$1.79,6.39
