Omega Healthcare Investors Price to Free Cash Flow Ratio Historical Data,Omega Healthcare Investors Price to Free Cash Flow Ratio Historical Data,Omega Healthcare Investors Price to Free Cash Flow Ratio Historical Data,Omega Healthcare Investors Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,40.74,,32.18
2024-06-30,33.64,$1.27,26.57
2024-03-31,30.44,$1.20,25.32
2023-12-31,28.79,$1.09,26.43
2023-09-30,30.51,$0.94,32.33
2023-06-30,27.65,$-0.48,0.0
2023-03-31,24.09,$0.39,61.8
2022-12-31,24.01,$1.36,17.7
2022-09-30,24.81,$1.71,14.52
2022-06-30,23.21,$3.16,7.34
2022-03-31,25.0,$3.01,8.3
2021-12-31,23.17,$-0.14,0.0
2021-09-30,22.92,$-0.27,0.0
2021-06-30,27.26,$0.06,472.51
2021-03-31,27.04,$-0.11,0.0
2020-12-31,26.33,$2.11,12.47
2020-09-30,21.22,$0.57,37.3
2020-06-30,20.64,$0.15,135.79
2020-03-31,18.02,$0.02,1012.21
2019-12-31,28.3,$-0.08,0.0
2019-09-30,27.5,$1.30,21.19
2019-06-30,23.76,$1.44,16.45
2019-03-31,24.21,$1.29,18.72
2018-12-31,21.94,$1.07,20.45
2018-09-30,20.06,$1.39,14.4
2018-06-30,18.55,$0.56,32.85
2018-03-31,15.78,$0.22,71.18
2017-12-31,15.68,$0.51,30.64
2017-09-30,17.79,$0.57,31.39
2017-06-30,18.04,$0.07,266.86
2017-03-31,17.7,$-0.22,0.0
2016-12-31,16.45,$-2.20,0.0
2016-09-30,18.29,$-2.37,0.0
2016-06-30,17.22,$-2.04,0.0
2016-03-31,17.6,$-2.42,0.0
2015-12-31,17.13,$-0.20,0.0
2015-09-30,16.95,$-0.74,0.0
2015-06-30,16.3,$0.31,51.95
2015-03-31,19.17,$1.55,12.37
2014-12-31,18.09,$1.48,12.25
2014-09-30,15.62,$2.04,7.65
2014-06-30,16.61,$2.01,8.26
2014-03-31,14.89,$1.96,7.61
2013-12-31,13.04,$1.83,7.12
2013-09-30,12.88,$0.20,64.83
2013-06-30,13.19,$-1.63,0.0
2013-03-31,12.72,$-1.96,0.0
2012-12-31,9.83,$-2.02,0.0
2012-09-30,9.19,$-1.38,0.0
2012-06-30,8.94,$0.45,19.95
2012-03-31,8.28,$0.66,12.56
2011-12-31,7.39,$0.62,11.9
2011-09-30,5.95,$1.47,4.04
2011-06-30,7.7,$1.48,5.19
2011-03-31,8.06,$-2.34,0.0
2010-12-31,7.96,$-2.35,0.0
2010-09-30,7.84,$-4.31,0.0
2010-06-30,6.85,$-4.47,0.0
2010-03-31,6.59,$-0.60,0.0
2009-12-31,6.47,$-0.42,0.0
