Seacoast Banking Of Florida Price to Free Cash Flow Ratio Historical Data,Seacoast Banking Of Florida Price to Free Cash Flow Ratio Historical Data,Seacoast Banking Of Florida Price to Free Cash Flow Ratio Historical Data,Seacoast Banking Of Florida Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,28.43,,14.04
2024-06-30,23.48,$2.03,11.59
2024-03-31,25.02,$1.87,13.41
2023-12-31,27.83,$1.67,16.62
2023-09-30,21.35,$1.98,10.76
2023-06-30,21.31,$1.90,11.19
2023-03-31,22.68,$2.10,10.82
2022-12-31,29.64,$2.88,10.31
2022-09-30,28.57,$3.06,9.35
2022-06-30,31.06,$2.75,11.28
2022-03-31,32.74,$2.69,12.17
2021-12-31,32.97,$2.66,12.42
2021-09-30,31.38,$2.57,12.2
2021-06-30,31.55,$1.99,15.86
2021-03-31,33.36,$1.47,22.71
2020-12-31,27.11,$1.10,24.76
2020-09-30,16.6,$1.12,14.83
2020-06-30,18.78,$1.85,10.17
2020-03-31,16.86,$2.31,7.31
2019-12-31,28.14,$2.21,12.71
2019-09-30,23.3,$2.29,10.17
2019-06-30,23.42,$2.27,10.33
2019-03-31,24.26,$2.29,10.59
2018-12-31,23.95,$2.58,9.3
2018-09-30,26.88,$1.68,16.0
2018-06-30,29.07,$1.70,17.13
2018-03-31,24.37,$1.27,19.18
2017-12-31,23.21,$1.00,23.29
2017-09-30,21.99,$1.52,14.44
2017-06-30,22.19,$1.42,15.58
2017-03-31,22.08,$1.46,15.1
2016-12-31,20.31,$1.49,13.61
2016-09-30,14.81,$1.04,14.25
2016-06-30,14.95,$1.03,14.55
2016-03-31,14.54,$1.05,13.91
2015-12-31,13.79,$0.61,22.79
2015-09-30,13.51,$0.96,14.03
2015-06-30,14.55,$0.71,20.52
2015-03-31,13.14,$0.37,35.78
2014-12-31,12.66,$0.57,22.12
2014-09-30,10.06,$0.26,38.97
2014-06-30,10.01,$1.11,9.05
2014-03-31,10.13,$1.73,5.84
2013-12-31,11.23,$2.39,4.69
2013-09-30,9.99,$2.01,4.96
2013-06-30,10.13,$0.92,10.99
2013-03-31,9.62,$0.46,20.89
2012-12-31,7.41,$-0.31,0.0
2012-09-30,7.32,$0.21,35.51
2012-06-30,6.86,$0.24,28.42
2012-03-31,8.1,$0.58,14.0
2011-12-31,7.0,$1.21,5.79
2011-09-30,6.77,$1.42,4.76
2011-06-30,6.9,$0.27,25.14
2011-03-31,7.27,$0.13,54.85
2010-12-31,6.72,$2.75,2.44
2010-09-30,5.62,$1.03,5.43
2010-06-30,6.12,$4.86,1.26
2010-03-31,7.78,$4.59,1.69
2009-12-31,7.5,$0.34,21.96
