Southwest Gas Price to Free Cash Flow Ratio Historical Data,Southwest Gas Price to Free Cash Flow Ratio Historical Data,Southwest Gas Price to Free Cash Flow Ratio Historical Data,Southwest Gas Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,74.96,,11.09
2024-06-30,69.77,$6.76,10.32
2024-03-31,74.84,$5.58,13.4
2023-12-31,61.62,$-5.12,0.0
2023-09-30,58.17,$-8.78,0.0
2023-06-30,60.71,$-11.29,0.0
2023-03-31,58.92,$-13.20,0.0
2022-12-31,57.82,$-6.89,0.0
2022-09-30,64.55,$-7.19,0.0
2022-06-30,79.94,$-6.02,0.0
2022-03-31,71.39,$-6.25,0.0
2021-12-31,63.3,$-10.20,0.0
2021-09-30,59.92,$-8.59,0.0
2021-06-30,58.82,$-8.41,0.0
2021-03-31,60.54,$-8.21,0.0
2020-12-31,53.04,$-3.55,0.0
2020-09-30,54.65,$-4.40,0.0
2020-06-30,59.32,$-5.35,0.0
2020-03-31,59.26,$-6.54,0.0
2019-12-31,64.28,$-8.06,0.0
2019-09-30,76.49,$-7.94,0.0
2019-06-30,75.3,$-6.49,0.0
2019-03-31,68.67,$-5.75,0.0
2018-12-31,63.43,$-4.79,0.0
2018-09-30,65.13,$-5.23,0.0
2018-06-30,62.45,$-5.83,0.0
2018-03-31,54.98,$-5.71,0.0
2017-12-31,64.95,$-5.29,0.0
2017-09-30,62.27,$-3.19,0.0
2017-06-30,58.25,$-3.04,0.0
2017-03-31,65.7,$-1.78,0.0
2016-12-31,60.39,$1.48,40.68
2016-09-30,55.06,$1.29,42.76
2016-06-30,62.03,$1.78,34.93
2016-03-31,51.9,$2.78,18.68
2015-12-31,43.47,$1.35,32.16
2015-09-30,45.96,$1.19,38.48
2015-06-30,41.94,$1.22,34.44
2015-03-31,45.85,$0.34,135.24
2014-12-31,48.72,$-1.08,0.0
2014-09-30,38.29,$-1.05,0.0
2014-06-30,41.61,$-1.27,0.0
2014-03-31,42.13,$-0.72,0.0
2013-12-31,44.07,$-0.39,0.0
2013-09-30,39.17,$-1.34,0.0
2013-06-30,36.41,$-0.70,0.0
2013-03-31,36.69,$-0.23,0.0
2012-12-31,32.57,$-0.20,0.0
2012-09-30,33.69,$-1.23,0.0
2012-06-30,33.04,$-2.00,0.0
2012-03-31,31.9,$-4.43,0.0
2011-12-31,31.51,$-6.40,0.0
2011-09-30,26.64,$-3.95,0.0
2011-06-30,28.22,$-1.76,0.0
2010-12-31,26.45,$3.39,7.79
2010-09-30,24.05,$6.10,3.94
2010-06-30,20.96,$7.72,2.72
2010-03-31,21.09,$7.33,2.88
2009-12-31,19.94,$5.33,3.74
2011-03-31,28.29,$5.00,5.66
