PriceSmart Price to Free Cash Flow Ratio Historical Data,PriceSmart Price to Free Cash Flow Ratio Historical Data,PriceSmart Price to Free Cash Flow Ratio Historical Data,PriceSmart Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,93.24,,54.5
2024-05-31,83.58,$1.71,48.86
2024-02-29,82.55,$2.48,33.3
2023-11-30,65.64,$3.96,16.59
2023-08-31,77.42,$4.86,15.94
2023-05-31,70.18,$5.10,13.76
2023-02-28,67.51,$3.48,19.4
2022-08-31,60.88,$0.04,1368.04
2022-05-31,75.17,$-0.86,0.0
2022-02-28,69.52,$-1.19,0.0
2021-11-30,68.15,$0.35,196.55
2021-08-31,80.39,$0.47,170.0
2021-05-31,83.55,$2.69,31.11
2021-02-28,91.26,$4.08,22.38
2020-11-30,76.64,$4.68,16.36
2020-08-31,62.0,$5.25,11.8
2020-05-31,51.01,$2.91,17.52
2020-02-29,52.24,$1.15,45.28
2019-11-30,69.71,$0.08,907.64
2019-08-31,56.36,$1.01,56.08
2019-05-31,45.05,$0.56,80.88
2019-02-28,59.94,$0.31,190.94
2022-11-30,68.35,$0.19,353.25
2018-11-30,61.65,$1.40,44.14
2018-08-31,80.04,$0.73,109.69
2018-05-31,77.69,$0.56,139.38
2018-02-28,72.27,$0.76,95.02
2017-11-30,78.12,$-0.89,0.0
2017-08-31,74.24,$-0.41,0.0
2017-05-31,80.29,$-0.29,0.0
2017-02-28,80.43,$0.15,533.36
2016-11-30,82.74,$2.16,38.35
2016-08-31,75.7,$2.14,35.36
2016-05-31,79.94,$2.62,30.46
2016-02-29,69.72,$3.01,23.18
2015-11-30,83.7,$1.62,51.59
2015-08-31,76.34,$0.73,104.27
2015-05-31,72.95,$0.99,73.68
2015-02-28,71.07,$0.38,188.33
2014-11-30,86.39,$1.09,79.45
2014-08-31,79.85,$0.62,128.66
2014-05-31,81.32,$1.26,64.41
2014-02-28,90.27,$0.46,195.13
2013-11-30,110.32,$0.35,318.94
2013-08-31,76.0,$2.00,37.97
2013-05-31,74.4,$0.39,189.21
2013-02-28,65.34,$1.15,57.04
2012-11-30,68.05,$1.74,39.21
2012-08-31,64.2,$1.26,50.86
2012-05-31,59.07,$2.20,26.83
2012-02-29,56.49,$1.55,36.36
2011-11-30,59.06,$1.21,48.75
2011-08-31,56.98,$1.23,46.43
2011-05-31,40.4,$1.07,37.65
2011-02-28,30.82,$1.21,25.53
2010-11-30,28.84,$0.87,33.32
2010-08-31,22.17,$1.13,19.61
2010-05-31,20.43,$0.68,30.02
2010-02-28,18.09,$0.57,31.75
2009-11-30,15.8,$-0.21,0.0
