FirstCash Holdings Price to Free Cash Flow Ratio Historical Data,FirstCash Holdings Price to Free Cash Flow Ratio Historical Data,FirstCash Holdings Price to Free Cash Flow Ratio Historical Data,FirstCash Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,114.23,,16.88
2024-06-30,104.88,$6.77,15.5
2024-03-31,127.54,$6.40,19.91
2023-12-31,108.39,$6.25,17.34
2023-09-30,100.38,$7.69,13.05
2023-06-30,93.33,$7.41,12.59
2023-03-31,95.37,$6.99,13.64
2022-12-31,86.91,$7.41,11.73
2022-09-30,73.35,$5.45,13.46
2022-06-30,69.22,$4.05,17.1
2022-03-31,69.76,$3.51,19.88
2021-12-31,73.9,$2.48,29.79
2021-09-30,86.11,$1.93,44.63
2021-06-30,74.95,$2.42,30.96
2021-03-31,64.14,$1.84,34.82
2020-12-31,68.11,$1.31,51.86
2020-09-30,55.39,$1.91,28.97
2020-06-30,65.04,$1.57,41.38
2019-12-31,77.16,$2.61,29.6
2019-09-30,87.43,$4.85,18.01
2019-06-30,95.4,$5.37,17.78
2019-03-31,82.28,$5.97,13.77
2018-12-31,68.62,$5.43,12.63
2020-03-31,68.87,$4.39,15.7
2018-09-30,77.54,$4.29,18.09
2018-06-30,84.74,$4.21,20.15
2018-03-31,76.44,$4.45,17.18
2017-12-31,63.26,$3.83,16.53
2017-09-30,59.04,$3.87,15.25
2017-06-30,54.33,$2.77,19.6
2017-03-31,45.64,$2.29,19.94
2016-12-31,43.46,$1.80,24.15
2016-09-30,43.35,$1.27,34.26
2016-06-30,47.15,$2.15,21.88
2016-03-31,42.19,$2.39,17.66
2015-12-31,34.19,$2.53,13.51
2015-09-30,36.59,$3.05,12.0
2015-06-30,41.64,$3.04,13.68
2015-03-31,42.49,$3.34,12.72
2014-12-31,50.85,$3.33,15.26
2014-06-30,52.6,$2.78,18.93
2014-03-31,46.09,$2.69,17.15
2013-12-31,56.48,$2.71,20.87
2013-09-30,52.87,$2.86,18.46
2013-06-30,44.95,$2.40,18.69
2013-03-31,53.28,$2.12,25.16
2012-12-31,45.32,$2.25,20.11
2012-09-30,42.02,$1.86,22.62
2012-06-30,36.69,$2.01,18.24
2012-03-31,39.17,$1.85,21.21
2011-12-31,32.05,$1.63,19.64
2011-09-30,38.31,$1.67,22.97
2011-06-30,38.35,$0.63,60.77
2011-03-31,35.25,$1.55,22.72
2010-12-31,28.3,$1.24,22.75
2010-09-30,25.35,$1.18,21.39
2014-09-30,51.13,$2.83,18.08
2010-06-30,19.91,$2.25,8.83
2010-03-31,19.74,$2.23,8.86
2009-12-31,20.27,$2.31,8.76
