Preferred Bank Price to Free Cash Flow Ratio Historical Data,Preferred Bank Price to Free Cash Flow Ratio Historical Data,Preferred Bank Price to Free Cash Flow Ratio Historical Data,Preferred Bank Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,85.08,,9.21
2024-06-30,74.12,$9.23,8.03
2024-03-31,74.68,$11.59,6.44
2023-12-31,70.37,$12.13,5.8
2023-09-30,59.45,$14.73,4.04
2023-06-30,52.0,$13.48,3.86
2023-03-31,51.29,$11.16,4.6
2022-12-31,69.29,$9.68,7.16
2022-09-30,60.18,$9.27,6.49
2022-06-30,62.37,$8.85,7.05
2022-03-31,67.53,$7.98,8.46
2021-12-31,65.07,$8.01,8.13
2021-09-30,60.11,$8.36,7.19
2021-06-30,56.68,$7.60,7.46
2021-03-31,56.72,$7.70,7.36
2020-12-31,44.7,$6.87,6.51
2020-09-30,28.19,$5.89,4.79
2020-06-30,37.33,$5.82,6.41
2020-03-31,29.19,$5.45,5.36
2019-12-31,51.61,$5.34,9.66
2019-09-30,44.73,$5.61,7.98
2019-06-30,40.1,$5.80,6.92
2019-03-31,37.93,$6.00,6.32
2018-12-31,36.32,$6.39,5.68
2018-09-30,48.8,$5.59,8.73
2018-06-30,51.09,$4.78,10.68
2018-03-31,53.18,$4.10,12.96
2017-12-31,48.51,$3.58,13.57
2017-09-30,49.64,$3.68,13.49
2017-06-30,43.82,$3.35,13.07
2017-03-31,43.82,$4.35,10.06
2016-12-31,42.66,$3.72,11.48
2016-09-30,28.97,$2.92,9.93
2016-06-30,23.28,$2.51,9.29
2016-03-31,24.27,$2.15,11.29
2015-12-31,26.37,$1.91,13.79
2015-09-30,25.14,$2.83,8.88
2015-06-30,23.81,$2.61,9.12
2015-03-31,21.67,$2.18,9.92
2014-12-31,21.92,$3.03,7.23
2014-09-30,17.63,$3.04,5.79
2014-06-30,18.5,$3.32,5.57
2014-03-31,20.32,$2.85,7.13
2013-12-31,15.69,$2.44,6.44
2013-09-30,13.92,$1.76,7.91
2013-06-30,12.9,$1.68,7.69
2013-03-31,12.35,$2.18,5.68
2012-12-31,11.11,$1.97,5.63
2012-09-30,11.1,$2.60,4.27
2012-06-30,10.46,$2.24,4.66
2012-03-31,9.22,$2.19,4.22
2011-12-31,5.83,$1.93,3.03
2011-09-30,6.21,$-1.16,0.0
2011-06-30,5.64,$-1.86,0.0
2011-03-31,5.75,$0.82,7.03
2010-12-31,6.89,$3.56,1.93
2010-09-30,6.3,$15.56,0.4
2010-06-30,8.18,$6.19,1.32
2010-03-31,5.32,$4.10,1.3
2009-12-31,7.04,$1.65,4.27
