RLJ Lodging Trust Price to Free Cash Flow Ratio Historical Data,RLJ Lodging Trust Price to Free Cash Flow Ratio Historical Data,RLJ Lodging Trust Price to Free Cash Flow Ratio Historical Data,RLJ Lodging Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,9.22,,7.92
2024-06-30,9.48,$1.16,8.14
2024-03-31,11.51,$1.02,11.24
2023-12-31,11.32,$1.17,9.69
2023-09-30,9.37,$0.89,10.59
2023-06-30,9.74,$0.88,11.11
2023-03-31,9.97,$1.05,9.52
2022-12-31,9.88,$1.11,8.9
2022-09-30,9.4,$2.08,4.51
2022-06-30,10.19,$2.07,4.93
2022-03-31,13.0,$1.51,8.58
2021-12-31,12.85,$1.18,10.9
2021-09-30,13.7,$-0.44,0.0
2021-06-30,14.03,$-1.04,0.0
2021-03-31,14.25,$-1.65,0.0
2020-12-31,13.02,$-1.44,0.0
2020-09-30,7.96,$-0.23,0.0
2020-06-30,8.67,$1.61,5.38
2020-03-31,7.08,$5.21,1.36
2019-12-31,16.24,$5.40,3.01
2019-09-30,15.29,$5.08,3.01
2019-06-30,15.66,$5.74,2.73
2019-03-31,15.22,$3.30,4.61
2018-12-31,13.95,$3.86,3.62
2018-09-30,18.37,$4.88,3.77
2018-06-30,18.11,$2.88,6.29
2018-03-31,15.73,$2.88,5.45
2017-12-31,17.48,$2.40,7.28
2017-09-30,17.25,$3.66,4.71
2017-06-30,15.33,$3.98,3.85
2017-03-31,17.85,$4.14,4.31
2016-12-31,18.34,$4.17,4.4
2016-09-30,15.53,$2.01,7.73
2016-06-30,15.6,$1.95,8.01
2016-03-31,16.37,$1.75,9.34
2015-12-31,15.25,$3.30,4.62
2015-09-30,17.56,$3.22,5.46
2015-06-30,20.43,$3.08,6.63
2015-03-31,21.24,$3.25,6.54
2014-12-31,22.5,$2.46,9.17
2014-09-30,18.94,$2.55,7.44
2014-06-30,19.03,$2.75,6.91
2014-03-31,17.47,$2.45,7.13
2013-12-31,15.76,$1.62,9.72
2013-09-30,15.08,$1.37,11.01
2013-06-30,14.31,$1.22,11.7
2013-03-31,14.35,$0.94,15.28
2012-12-31,12.1,$0.44,27.49
2012-09-30,11.69,$0.30,39.22
2012-06-30,11.11,$-0.05,0.0
2012-03-31,11.31,$0.14,83.11
