Textron Price to Free Cash Flow Ratio Historical Data,Textron Price to Free Cash Flow Ratio Historical Data,Textron Price to Free Cash Flow Ratio Historical Data,Textron Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,91.2,,22.9
2024-06-30,85.86,$3.98,21.56
2024-03-31,95.91,$3.52,27.21
2023-12-31,80.38,$4.37,18.39
2023-09-30,78.09,$4.16,18.79
2023-06-30,67.56,$4.54,14.88
2023-03-31,70.54,$4.90,14.38
2022-12-31,70.69,$5.38,13.15
2022-09-30,58.15,$4.83,12.05
2022-06-30,60.94,$4.98,12.24
2022-03-31,74.2,$5.81,12.77
2021-12-31,76.72,$5.41,14.18
2021-09-30,69.36,$6.20,11.19
2021-06-30,68.31,$6.00,11.39
2021-03-31,55.69,$4.62,12.06
2020-12-31,47.97,$2.11,22.7
2020-09-30,35.81,$3.12,11.48
2020-06-30,32.64,$2.71,12.03
2020-03-31,26.43,$2.16,12.25
2019-12-31,44.17,$2.94,15.03
2019-09-30,48.46,$1.14,42.39
2019-06-30,52.48,$1.21,43.55
2019-03-31,50.11,$2.42,20.7
2018-12-31,45.47,$2.97,15.31
2018-09-30,70.63,$3.52,20.06
2018-06-30,65.12,$2.53,25.78
2018-03-31,58.24,$2.36,24.63
2017-12-31,55.88,$1.91,29.27
2017-09-30,53.18,$2.60,20.44
2017-06-30,46.47,$2.94,15.78
2017-03-31,46.93,$1.56,30.08
2016-12-31,47.87,$1.76,27.22
2016-09-30,39.17,$1.34,29.21
2016-06-30,36.01,$1.42,25.3
2016-03-31,35.89,$1.89,19.0
2015-12-31,41.33,$2.40,17.19
2015-09-30,37.01,$2.12,17.44
2015-06-30,43.87,$2.24,19.63
2015-03-31,43.55,$2.74,15.92
2014-12-31,41.35,$2.76,14.96
2014-09-30,35.32,$3.93,8.99
2014-06-30,37.56,$4.87,7.72
2014-03-31,38.52,$3.23,11.92
2013-12-31,36.02,$1.91,18.84
2013-09-30,27.04,$-0.29,0.0
2013-06-30,25.49,$-0.35,0.0
2013-03-31,29.15,$0.98,29.76
2012-12-31,24.23,$1.52,15.97
2012-09-30,25.55,$1.43,17.83
2012-06-30,24.27,$1.25,19.38
2012-03-31,27.13,$0.96,28.25
2011-12-31,18.01,$2.08,8.65
2011-09-30,17.17,$1.73,9.94
2011-06-30,22.95,$2.41,9.54
2011-03-31,26.6,$3.14,8.46
2010-12-31,22.94,$2.79,8.23
2010-09-30,19.93,$4.49,4.44
2010-06-30,16.43,$4.58,3.59
2010-03-31,20.54,$4.20,4.89
2009-12-31,18.18,$3.85,4.72
