PTC Therapeutics Price to Free Cash Flow Ratio Historical Data,PTC Therapeutics Price to Free Cash Flow Ratio Historical Data,PTC Therapeutics Price to Free Cash Flow Ratio Historical Data,PTC Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,37.01,,0.0
2024-06-30,30.58,$-1.36,0.0
2024-03-31,29.09,$-1.16,0.0
2023-12-31,27.56,$-2.50,0.0
2023-09-30,22.41,$-3.51,0.0
2023-06-30,40.67,$-3.83,0.0
2023-03-31,48.44,$-4.46,0.0
2022-12-31,38.17,$-5.42,0.0
2022-09-30,50.2,$-4.09,0.0
2022-06-30,40.06,$-4.30,0.0
2022-03-31,37.31,$-3.96,0.0
2021-12-31,39.83,$-3.97,0.0
2021-09-30,37.21,$-3.98,0.0
2021-06-30,42.27,$-2.74,0.0
2021-03-31,47.35,$-3.31,0.0
2020-12-31,61.03,$-3.21,0.0
2020-09-30,46.75,$-2.27,0.0
2020-06-30,50.74,$-3.04,0.0
2020-03-31,44.61,$-2.50,0.0
2019-12-31,48.03,$-1.91,0.0
2019-09-30,33.82,$-2.16,0.0
2019-06-30,45.0,$-1.77,0.0
2019-03-31,37.64,$-1.16,0.0
2018-12-31,34.32,$-0.75,0.0
2018-09-30,47.0,$0.14,342.57
2018-06-30,33.73,$-0.30,0.0
2018-03-31,27.06,$0.12,225.31
2017-12-31,16.68,$-0.34,0.0
2017-09-30,20.01,$-1.22,0.0
2017-06-30,18.33,$-1.55,0.0
2017-03-31,9.84,$-2.71,0.0
2016-12-31,10.91,$-3.09,0.0
2016-09-30,14.01,$-3.62,0.0
2016-06-30,7.02,$-3.73,0.0
2016-03-31,6.44,$-3.88,0.0
2015-12-31,32.4,$-3.78,0.0
2015-09-30,26.7,$-3.07,0.0
2015-06-30,48.13,$-2.84,0.0
2015-03-31,60.85,$-2.53,0.0
2014-12-31,51.77,$-1.96,0.0
2014-09-30,44.01,$-4.06,0.0
2014-06-30,26.14,$5.48,4.77
2014-03-31,26.14,$-4.28,0.0
