Avista Price to Free Cash Flow Ratio Historical Data,Avista Price to Free Cash Flow Ratio Historical Data,Avista Price to Free Cash Flow Ratio Historical Data,Avista Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,37.89,,0.0
2024-06-30,34.19,$-0.40,0.0
2024-03-31,34.16,$0.32,105.99
2023-12-31,34.38,$-0.67,0.0
2023-09-30,30.74,$-2.39,0.0
2023-06-30,36.78,$-3.86,0.0
2023-03-31,39.32,$-2.10,0.0
2022-12-31,40.61,$-3.15,0.0
2022-09-30,33.54,$-1.31,0.0
2022-06-30,39.01,$-0.75,0.0
2021-12-31,37.33,$-2.46,0.0
2021-09-30,34.0,$-3.33,0.0
2021-06-30,36.71,$-1.42,0.0
2021-03-31,40.71,$-0.67,0.0
2020-12-31,33.84,$-1.79,0.0
2022-03-31,40.07,$0.79,50.8
2020-09-30,28.46,$-1.34,0.0
2020-06-30,30.01,$0.43,69.26
2020-03-31,34.68,$-1.13,0.0
2019-12-31,38.95,$-2.07,0.0
2019-09-30,38.91,$-1.02,0.0
2018-12-31,33.22,$-0.95,0.0
2018-09-30,39.54,$0.72,54.97
2018-06-30,40.88,$0.58,70.48
2018-03-31,39.51,$0.55,71.37
2017-12-31,39.4,$-0.03,0.0
2017-09-30,39.34,$0.07,530.89
2017-06-30,32.04,$0.45,70.97
2017-03-31,29.22,$-0.07,0.0
2016-12-31,29.65,$-0.76,0.0
2016-09-30,30.72,$-1.41,0.0
2016-06-30,32.66,$-1.57,0.0
2016-03-31,29.48,$-1.02,0.0
2015-12-31,25.33,$-0.28,0.0
2015-09-30,23.58,$-0.91,0.0
2015-06-30,21.5,$-1.53,0.0
2015-03-31,23.74,$-1.56,0.0
2014-12-31,24.32,$-1.05,0.0
2014-09-30,20.81,$-0.21,0.0
2014-06-30,22.62,$0.18,122.74
2014-03-31,20.48,$-0.03,0.0
2013-12-31,18.63,$-1.01,0.0
2013-09-30,17.26,$-0.92,0.0
2013-06-30,17.47,$-0.73,0.0
2013-03-31,17.52,$1.25,14.0
2012-12-31,15.24,$0.93,16.33
2012-09-30,16.07,$2.58,6.24
2019-03-31,32.06,$2.15,14.9
2012-06-30,16.49,$0.67,24.51
2012-03-31,15.61,$1.08,14.44
2011-12-31,15.54,$-0.67,0.0
2011-09-30,14.23,$0.56,25.34
2011-06-30,15.15,$0.39,38.57
2010-12-31,12.98,$0.43,30.47
2010-09-30,11.9,$1.11,10.75
2010-06-30,10.99,$1.52,7.22
2010-03-31,11.51,$1.65,6.95
2009-12-31,11.85,$1.65,7.17
2011-03-31,13.49,$2.56,5.27
2009-09-30,10.99,$2.68,4.1
