MR COOPER GROUP INC Price to Free Cash Flow Ratio Historical Data,MR COOPER GROUP INC Price to Free Cash Flow Ratio Historical Data,MR COOPER GROUP INC Price to Free Cash Flow Ratio Historical Data,MR COOPER GROUP INC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,96.27,,11.37
2024-06-30,81.23,$8.47,9.59
2024-03-31,77.95,$10.42,7.48
2023-12-31,65.12,$12.31,5.29
2023-09-30,53.56,$18.52,2.89
2023-06-30,50.64,$17.71,2.86
2023-03-31,40.97,$40.95,1.0
2022-12-31,40.13,$50.80,0.79
2022-09-30,40.5,$82.93,0.49
2022-06-30,36.74,$66.38,0.55
2022-03-31,45.67,$43.21,1.06
2021-12-31,41.61,$30.20,1.38
2021-09-30,41.17,$-26.18,0.0
2021-06-30,33.06,$-20.59,0.0
2021-03-31,34.76,$-5.70,0.0
2020-12-31,31.03,$2.90,10.7
2020-09-30,22.32,$27.06,0.82
2020-06-30,12.44,$29.84,0.42
2020-03-31,7.33,$11.65,0.63
2019-12-31,12.51,$7.04,1.78
2019-09-30,10.62,$10.88,0.98
2019-06-30,8.01,$18.46,0.43
2019-03-31,9.59,$31.61,0.3
2018-12-31,11.67,$38.01,0.31
2018-09-30,16.68,$27.45,0.61
2018-06-30,16.08,$32.61,0.49
2018-03-31,17.04,$23.08,0.74
2017-12-31,10.19,$13.49,0.76
2017-09-30,11.4,$21.94,0.52
2017-06-30,15.0,$8.96,1.67
2017-03-31,17.4,$9.08,1.92
2016-12-31,18.6,$9.04,2.06
2016-09-30,28.08,$33.33,0.84
2016-06-30,26.64,$-1.20,0.0
