Cable One Price to Free Cash Flow Ratio Historical Data,Cable One Price to Free Cash Flow Ratio Historical Data,Cable One Price to Free Cash Flow Ratio Historical Data,Cable One Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,358.39,,6.59
2024-06-30,351.12,$54.36,6.46
2024-03-31,416.21,$54.81,7.59
2023-12-31,544.17,$48.94,11.12
2023-09-30,598.6,$52.05,11.5
2023-06-30,635.95,$52.72,12.06
2023-03-31,676.32,$48.45,13.96
2022-12-31,683.23,$52.41,13.04
2022-09-30,815.49,$52.90,15.42
2022-06-30,1229.52,$43.75,28.1
2022-03-31,1393.35,$48.33,28.83
2021-12-31,1675.0,$50.18,33.38
2021-09-30,1719.6,$57.25,30.04
2021-06-30,1811.74,$54.29,33.37
2021-03-31,1729.37,$53.68,32.21
2020-12-31,2104.55,$45.91,45.84
2020-09-30,1778.91,$42.43,41.93
2020-06-30,1672.41,$45.78,36.53
2020-03-31,1547.16,$40.13,38.55
2019-12-31,1399.01,$41.99,33.32
2019-09-30,1177.55,$35.85,32.85
2019-06-30,1097.02,$33.56,32.69
2019-03-31,917.76,$35.10,26.15
2018-12-31,765.29,$33.79,22.65
2018-09-30,822.68,$36.52,22.52
2018-06-30,681.01,$35.26,19.31
2018-03-31,636.44,$27.66,23.01
2017-12-31,649.83,$28.06,23.16
2017-09-30,665.44,$22.68,29.34
2017-06-30,653.54,$21.74,30.07
2017-03-31,572.8,$22.93,24.98
2016-12-31,568.95,$19.31,29.47
2016-09-30,533.04,$14.72,36.21
2016-06-30,465.48,$24.24,19.2
