Insperity Price to Free Cash Flow Ratio Historical Data,Insperity Price to Free Cash Flow Ratio Historical Data,Insperity Price to Free Cash Flow Ratio Historical Data,Insperity Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,88.91,,12.12
2024-06-30,90.6,$7.34,12.35
2024-03-31,108.87,$3.97,27.43
2023-12-31,115.78,$4.13,28.03
2023-09-30,95.93,$8.56,11.2
2023-06-30,116.25,$4.66,24.92
2023-03-31,118.23,$9.06,13.04
2022-12-31,110.03,$13.26,8.3
2022-09-30,98.45,$8.94,11.02
2022-03-31,95.87,$7.50,12.78
2021-12-31,112.18,$5.84,19.2
2021-09-30,102.96,$6.84,15.05
2021-06-30,83.67,$5.07,16.52
2021-03-31,77.15,$4.18,18.44
2020-12-31,74.7,$6.19,12.08
2022-06-30,95.81,$0.36,269.06
2020-09-30,59.81,$4.39,13.63
2020-06-30,58.74,$2.88,20.38
2020-03-31,33.64,$3.90,8.63
2019-12-31,77.13,$6.11,12.62
2019-09-30,88.07,$3.79,23.21
2019-03-31,109.82,$5.79,18.97
2018-12-31,82.71,$3.60,22.99
2018-09-30,104.28,$5.67,18.39
2018-06-30,84.07,$3.43,24.52
2018-03-31,61.26,$4.80,12.75
2017-12-31,50.37,$3.59,14.02
2019-06-30,108.75,$-0.13,0.0
2017-09-30,37.89,$3.36,11.28
2017-06-30,30.45,$1.64,18.52
2017-03-31,37.89,$1.29,29.43
2016-12-31,30.23,$2.67,11.33
2016-09-30,30.85,$2.04,15.13
2016-06-30,32.68,$3.94,8.3
2016-03-31,21.81,$4.19,5.2
2015-12-31,20.22,$1.22,16.51
2015-09-30,18.35,$2.24,8.21
2015-06-30,21.16,$1.65,12.83
2015-03-31,21.64,$1.54,14.1
2014-12-31,13.98,$2.48,5.63
2014-09-30,10.55,$1.10,9.59
2014-06-30,12.65,$0.21,61.4
2014-03-31,11.81,$0.30,38.94
2013-12-31,13.69,$0.47,29.41
2013-09-30,14.18,$0.32,44.04
2013-06-30,11.37,$0.95,12.0
2013-03-31,10.58,$0.92,11.51
2012-12-31,12.08,$1.66,7.27
2012-09-30,9.01,$-0.63,0.0
2012-06-30,9.59,$-1.04,0.0
2011-12-31,8.88,$0.83,10.64
2011-09-30,7.74,$0.63,12.3
2011-06-30,10.24,$2.31,4.43
2011-03-31,10.46,$3.61,2.9
2010-12-31,10.03,$2.12,4.73
2012-03-31,10.79,$1.44,7.47
2010-09-30,9.18,$1.68,5.46
2010-06-30,8.19,$0.87,9.42
2010-03-31,7.19,$1.04,6.9
2009-12-31,7.89,$-0.14,0.0
