ExlService Holdings Price to Free Cash Flow Ratio Historical Data,ExlService Holdings Price to Free Cash Flow Ratio Historical Data,ExlService Holdings Price to Free Cash Flow Ratio Historical Data,ExlService Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,40.47,,44.85
2024-06-30,31.36,$0.90,34.75
2024-03-31,31.8,$0.72,43.94
2023-12-31,30.85,$0.95,32.6
2023-09-30,28.04,$0.86,32.77
2023-06-30,30.21,$0.78,38.83
2023-03-31,32.37,$1.00,32.5
2022-12-31,33.89,$0.72,47.16
2022-09-30,29.47,$0.78,37.89
2022-06-30,29.47,$0.83,35.41
2022-03-31,28.65,$0.60,47.9
2021-12-31,28.95,$0.87,33.4
2021-09-30,24.62,$0.90,27.37
2021-06-30,21.25,$0.92,23.01
2021-03-31,18.03,$1.10,16.39
2020-12-31,17.03,$0.94,18.2
2020-09-30,13.19,$0.85,15.54
2020-06-30,12.68,$0.81,15.75
2020-03-31,10.41,$0.60,17.21
2019-12-31,13.89,$0.74,18.81
2019-09-30,13.39,$0.62,21.46
2019-06-30,13.23,$0.47,27.86
2019-03-31,12.0,$0.40,30.05
2018-12-31,10.52,$0.30,35.45
2018-09-30,13.24,$0.29,45.25
2018-06-30,11.32,$0.27,41.58
2018-03-31,11.15,$0.35,31.83
2017-12-31,12.07,$0.44,27.17
2017-09-30,11.66,$0.49,24.0
2017-06-30,11.12,$0.51,21.63
2017-03-31,9.47,$0.53,17.89
2016-12-31,10.09,$0.44,22.78
2016-09-30,9.97,$0.43,23.37
2016-06-30,10.48,$0.41,25.5
2016-03-31,10.36,$0.36,29.0
2015-12-31,8.99,$0.42,21.6
2015-09-30,7.39,$0.31,24.18
2015-06-30,6.92,$0.24,28.74
2015-03-31,7.44,$-0.21,0.0
2014-12-31,5.74,$0.04,142.13
2014-09-30,4.88,$0.03,148.84
2014-06-30,5.89,$0.07,89.38
2013-12-31,5.52,$0.40,13.98
2013-09-30,5.7,$0.51,11.19
2013-06-30,5.91,$0.37,15.88
2013-03-31,6.58,$0.40,16.29
2012-12-31,5.3,$0.47,11.24
2014-03-31,6.18,$0.12,49.81
2012-09-30,5.9,$0.21,27.66
2012-06-30,4.93,$0.15,32.04
2012-03-31,5.49,$0.20,27.55
2011-12-31,4.47,$0.23,19.19
2011-09-30,4.4,$0.23,19.19
2011-06-30,4.62,$0.25,18.72
2011-03-31,4.23,$0.15,27.33
2010-12-31,4.3,$0.11,39.2
2010-09-30,3.89,$0.18,22.19
2010-06-30,3.43,$0.15,23.47
2010-03-31,3.34,$0.17,20.01
2009-12-31,3.63,$0.17,21.99
