Kosmos Energy Price to Free Cash Flow Ratio Historical Data,Kosmos Energy Price to Free Cash Flow Ratio Historical Data,Kosmos Energy Price to Free Cash Flow Ratio Historical Data,Kosmos Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,4.21,,0.0
2023-12-31,6.71,$-0.35,0.0
2023-09-30,8.18,$-0.13,0.0
2023-06-30,5.99,$-0.18,0.0
2023-03-31,7.44,$0.31,23.69
2022-12-31,6.36,$1.08,5.9
2022-09-30,5.17,$1.26,4.1
2022-06-30,6.19,$0.75,8.24
2022-03-31,7.19,$0.62,11.68
2021-12-31,3.46,$0.21,16.59
2021-09-30,2.96,$-0.56,0.0
2024-06-30,5.54,$0.15,35.88
2021-06-30,3.46,$0.17,20.76
2021-03-31,3.07,$-0.55,0.0
2020-12-31,2.35,$-0.21,0.0
2020-09-30,0.98,$-0.73,0.0
2020-06-30,1.66,$-0.38,0.0
2024-03-31,5.96,$0.23,25.59
2020-03-31,0.9,$0.72,1.25
2019-12-31,5.6,$0.73,7.72
2019-09-30,6.09,$0.62,9.84
2019-06-30,6.07,$0.53,11.55
2019-03-31,5.99,$0.02,254.71
2018-12-31,3.88,$0.13,29.96
2018-09-30,8.92,$0.14,63.43
2018-06-30,7.89,$0.16,49.55
2018-03-31,6.01,$0.31,19.29
2017-12-31,6.53,$0.81,8.05
2017-09-30,7.59,$0.77,9.81
2017-06-30,6.11,$0.30,20.26
2017-03-31,6.35,$0.03,184.14
2016-12-31,6.69,$-0.60,0.0
2016-09-30,6.11,$-0.77,0.0
2016-06-30,5.2,$-0.64,0.0
2015-12-31,4.96,$-0.93,0.0
2015-09-30,5.32,$0.08,66.45
2015-06-30,8.04,$-0.52,0.0
2015-03-31,7.55,$-0.36,0.0
2014-12-31,8.0,$0.42,18.91
2016-03-31,5.55,$-0.19,0.0
2014-09-30,9.5,$0.81,11.78
2014-06-30,10.71,$0.66,16.28
2014-03-31,10.49,$0.71,14.75
2013-12-31,10.66,$0.53,20.09
2013-09-30,9.81,$0.42,23.33
2013-06-30,9.69,$0.36,27.17
2013-03-31,10.78,$-0.27,0.0
2012-12-31,11.78,$-0.02,0.0
2012-09-30,10.86,$-0.63,0.0
2012-06-30,10.54,$-0.41,0.0
2012-03-31,12.63,$-0.12,0.0
