Constellium SE Price to Free Cash Flow Ratio Historical Data,Constellium SE Price to Free Cash Flow Ratio Historical Data,Constellium SE Price to Free Cash Flow Ratio Historical Data,Constellium SE Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.84,,10.48
2024-06-30,18.85,$1.42,13.31
2024-03-31,22.11,$1.38,16.03
2023-12-31,19.96,$1.23,16.29
2023-09-30,18.2,$1.00,18.19
2023-06-30,17.2,$0.89,19.23
2023-03-31,15.28,$0.83,18.32
2022-12-31,11.83,$1.28,9.25
2022-09-30,10.14,$1.21,8.4
2022-06-30,13.21,$1.02,12.89
2022-03-31,18.0,$0.84,21.43
2021-12-31,17.91,$1.00,17.82
2021-09-30,18.78,$1.09,17.28
2021-06-30,18.95,$1.43,13.27
2021-03-31,14.7,$0.91,16.14
2020-12-31,13.99,$1.25,11.18
2020-09-30,7.85,$1.18,6.64
2020-06-30,7.68,$0.77,9.95
2020-03-31,5.21,$1.48,3.52
2019-12-31,13.4,$1.38,9.7
2019-09-30,12.71,$0.44,28.64
2019-06-30,10.04,$0.12,82.98
2019-03-31,7.98,$-0.56,0.0
2018-12-31,6.99,$-1.80,0.0
2018-09-30,12.35,$-1.99,0.0
2018-06-30,10.3,$-1.67,0.0
2018-03-31,10.85,$-1.59,0.0
2017-12-31,11.15,$-1.19,0.0
2017-09-30,10.25,$-2.58,0.0
2017-06-30,6.9,$-2.87,0.0
2017-03-31,6.5,$-1.53,0.0
2016-12-31,5.9,$-2.80,0.0
2016-09-30,7.2,$1.32,5.46
2016-06-30,4.69,$1.35,3.47
2016-03-31,5.19,$4.72,1.1
2015-12-31,7.7,$1.69,4.55
2015-09-30,6.06,$0.17,35.63
2015-06-30,11.83,$0.49,24.19
2015-03-31,20.32,$-3.88,0.0
2014-12-31,16.43,$0.17,95.08
2014-09-30,24.61,$0.61,40.64
2014-06-30,32.06,$0.93,34.33
2014-03-31,29.35,$0.03,1001.71
