Patterson-UTI Energy Price to Free Cash Flow Ratio Historical Data,Patterson-UTI Energy Price to Free Cash Flow Ratio Historical Data,Patterson-UTI Energy Price to Free Cash Flow Ratio Historical Data,Patterson-UTI Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,7.97,,6.2
2024-06-30,10.27,$1.29,7.99
2024-03-31,11.74,$1.29,9.13
2023-12-31,10.55,$1.49,7.09
2023-09-30,13.42,$1.44,9.33
2023-06-30,11.55,$1.86,6.2
2023-03-31,11.19,$1.52,7.35
2022-12-31,16.02,$0.71,22.62
2022-09-30,11.06,$-0.30,0.0
2022-06-30,14.89,$-0.67,0.0
2022-03-31,14.59,$-0.47,0.0
2021-12-31,7.94,$-0.24,0.0
2021-09-30,8.44,$-0.16,0.0
2021-06-30,9.29,$0.27,34.07
2021-03-31,6.65,$0.75,8.84
2020-12-31,4.9,$0.82,5.96
2020-09-30,2.64,$1.16,2.28
2020-06-30,3.2,$1.63,1.96
2020-03-31,2.16,$1.56,1.38
2019-12-31,9.56,$1.94,4.92
2019-09-30,7.75,$2.13,3.64
2019-06-30,10.39,$1.48,7.0
2019-03-31,12.6,$0.87,14.51
2018-12-31,9.28,$0.62,14.85
2018-09-30,15.29,$-0.11,0.0
2018-06-30,16.04,$-0.33,0.0
2018-03-31,15.57,$-0.63,0.0
2017-12-31,20.45,$-1.03,0.0
2017-09-30,18.59,$-0.64,0.0
2017-06-30,17.9,$-0.24,0.0
2017-03-31,21.5,$0.52,41.63
2016-12-31,23.83,$1.42,16.82
2016-09-30,19.79,$1.74,11.4
2016-06-30,18.84,$1.59,11.89
2016-03-31,15.56,$1.41,11.05
2015-12-31,13.24,$1.90,6.96
2015-09-30,11.46,$0.73,15.74
2015-06-30,16.29,$0.07,241.02
2015-03-31,16.18,$-0.94,0.0
2014-12-31,14.22,$-2.00,0.0
2014-09-30,27.7,$-0.88,0.0
2014-06-30,29.66,$0.48,61.96
2014-03-31,26.81,$1.49,17.98
2013-12-31,21.36,$1.63,13.1
2013-09-30,17.99,$1.22,14.8
2013-06-30,16.25,$0.74,21.83
2013-03-31,19.97,$0.86,23.29
2012-12-31,15.57,$0.64,24.26
2012-09-30,13.19,$0.20,65.47
2012-06-30,12.1,$-0.60,0.0
2012-03-31,14.31,$-0.70,0.0
2011-12-31,16.5,$-0.78,0.0
2011-09-30,14.28,$-0.95,0.0
2011-06-30,25.98,$-1.23,0.0
2011-03-31,24.11,$-1.11,0.0
2010-12-31,17.65,$-1.19,0.0
2010-09-30,13.95,$-0.95,0.0
2010-06-30,10.48,$-0.55,0.0
2010-03-31,11.34,$-0.93,0.0
2009-12-31,12.42,$0.03,429.79
