PPL Price to Free Cash Flow Ratio Historical Data,PPL Price to Free Cash Flow Ratio Historical Data,PPL Price to Free Cash Flow Ratio Historical Data,PPL Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,31.91,,0.0
2024-06-30,27.65,$-0.82,0.0
2024-03-31,27.28,$-0.70,0.0
2023-12-31,26.6,$-0.85,0.0
2023-09-30,22.91,$-0.09,0.0
2023-06-30,25.49,$-0.44,0.0
2022-12-31,27.64,$-0.58,0.0
2022-09-30,23.8,$0.48,49.96
2022-06-30,25.28,$0.35,72.72
2022-03-31,26.38,$0.45,59.18
2021-12-31,27.56,$0.81,33.93
2023-03-31,26.53,$0.58,45.79
2021-09-30,25.19,$0.57,44.36
2021-06-30,24.93,$1.15,21.62
2021-03-31,25.34,$0.77,32.95
2020-12-31,24.4,$0.62,39.44
2020-09-30,23.21,$1.40,16.63
2020-06-30,21.72,$0.99,22.04
2020-03-31,20.45,$0.70,29.3
2019-12-31,29.31,$0.25,117.37
2019-09-30,25.41,$-0.82,0.0
2019-06-30,24.68,$-0.85,0.0
2019-03-31,24.93,$-0.67,0.0
2018-12-31,21.97,$-0.59,0.0
2018-09-30,22.39,$-0.59,0.0
2018-06-30,21.55,$-0.42,0.0
2018-03-31,21.02,$-0.45,0.0
2017-12-31,22.66,$-0.98,0.0
2017-09-30,27.47,$-0.85,0.0
2017-06-30,27.71,$-0.64,0.0
2017-03-31,26.53,$-0.69,0.0
2016-12-31,23.9,$-0.04,0.0
2016-09-30,23.99,$-0.35,0.0
2016-06-30,25.92,$-1.08,0.0
2016-03-31,25.88,$-1.27,0.0
2015-12-31,22.96,$-1.36,0.0
2015-09-30,21.88,$-1.23,0.0
2015-06-30,19.36,$-0.81,0.0
2015-03-31,20.37,$-0.70,0.0
2014-12-31,21.73,$-0.41,0.0
2014-09-30,19.43,$-0.31,0.0
2014-06-30,20.8,$-0.03,0.0
2014-03-31,19.19,$-0.22,0.0
2013-12-31,17.22,$-1.17,0.0
2013-09-30,17.18,$-1.43,0.0
2013-06-30,16.9,$-1.24,0.0
2013-03-31,17.27,$-1.55,0.0
2012-12-31,15.61,$-0.59,0.0
2012-09-30,15.64,$-0.18,0.0
2012-06-30,14.79,$0.44,33.57
2012-03-31,14.84,$1.29,11.54
2011-12-31,15.25,$0.73,20.95
2011-09-30,14.62,$0.46,31.45
2011-06-30,14.08,$0.81,17.38
2011-03-31,12.64,$-0.83,0.0
2010-12-31,12.97,$1.01,12.84
2010-09-30,13.24,$2.02,6.56
2010-06-30,11.97,$1.41,8.47
2010-03-31,13.12,$2.92,4.49
2009-12-31,15.11,$1.67,9.07
