Piedmont Office Realty Trust Price to Free Cash Flow Ratio Historical Data,Piedmont Office Realty Trust Price to Free Cash Flow Ratio Historical Data,Piedmont Office Realty Trust Price to Free Cash Flow Ratio Historical Data,Piedmont Office Realty Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,10.87,,17.52
2024-06-30,7.15,$0.62,11.53
2024-03-31,6.82,$0.65,10.5
2023-12-31,6.76,$0.44,15.51
2023-09-30,5.23,$1.83,2.86
2023-06-30,6.64,$-0.26,0.0
2023-03-31,6.45,$-0.21,0.0
2022-12-31,7.92,$0.97,8.13
2022-09-30,8.94,$-1.99,0.0
2022-06-30,10.92,$0.20,54.1
2022-03-31,14.12,$0.19,72.84
2021-12-31,14.88,$-0.86,0.0
2021-09-30,13.96,$0.74,18.84
2021-06-30,14.61,$0.64,23.01
2021-03-31,13.59,$3.38,4.02
2020-12-31,12.55,$0.19,66.62
2020-09-30,10.36,$3.36,3.09
2020-06-30,12.51,$1.78,7.01
2020-03-31,13.14,$-1.64,0.0
2019-12-31,16.39,$2.92,5.61
2019-09-30,15.25,$0.14,106.11
2019-06-30,14.4,$5.07,2.84
2019-03-31,14.91,$2.79,5.35
2018-12-31,12.06,$4.24,2.84
2018-09-30,13.4,$3.89,3.45
2018-06-30,13.96,$3.32,4.21
2018-03-31,12.18,$6.30,1.93
2017-12-31,13.42,$3.46,3.88
2017-09-30,13.31,$2.08,6.42
2017-06-30,13.78,$-0.33,0.0
2017-03-31,13.84,$0.63,22.05
2016-12-31,13.41,$0.95,14.16
2016-09-30,13.81,$5.10,2.71
2016-06-30,13.53,$4.90,2.76
2016-03-31,12.62,$4.29,2.94
2015-12-31,11.6,$3.75,3.1
2015-09-30,10.87,$0.90,12.12
2015-06-30,10.56,$-0.02,0.0
2015-03-31,11.04,$-0.64,0.0
2014-12-31,11.05,$-0.15,0.0
2014-09-30,10.23,$-0.68,0.0
2014-06-30,10.87,$0.13,80.65
2014-03-31,9.74,$0.42,22.97
2013-12-31,9.27,$-1.40,0.0
2013-09-30,9.63,$-0.54,0.0
2013-06-30,9.8,$-0.44,0.0
2013-03-31,10.63,$-0.56,0.0
2012-12-31,9.7,$1.21,8.01
2012-09-30,9.21,$1.42,6.49
2012-06-30,9.03,$1.80,5.03
2012-03-31,9.21,$1.99,4.62
2011-12-31,8.74,$1.98,4.4
2011-09-30,8.13,$2.15,3.79
2011-06-30,10.08,$1.80,5.62
2011-03-31,9.45,$1.88,5.03
2010-12-31,9.65,$1.91,5.04
