Altair Engineering Price to Free Cash Flow Ratio Historical Data,Altair Engineering Price to Free Cash Flow Ratio Historical Data,Altair Engineering Price to Free Cash Flow Ratio Historical Data,Altair Engineering Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,95.79,,60.82
2024-06-30,98.08,$1.58,62.27
2024-03-31,86.15,$1.52,56.55
2023-12-31,84.15,$1.45,57.91
2023-09-30,62.56,$1.34,46.62
2023-06-30,75.84,$1.23,61.66
2023-03-31,72.11,$1.05,68.55
2022-12-31,45.47,$0.38,120.77
2022-09-30,44.22,$0.31,141.73
2022-06-30,52.5,$0.24,223.21
2022-03-31,64.4,$0.32,198.64
2021-12-31,77.32,$0.71,109.53
2021-09-30,68.94,$0.69,99.77
2021-06-30,68.97,$0.60,115.28
2021-03-31,62.57,$0.45,140.29
2020-12-31,58.18,$0.37,159.05
2020-09-30,41.98,$0.32,132.14
2020-06-30,39.75,$0.37,106.4
2020-03-31,26.5,$0.38,70.42
2019-12-31,35.91,$0.30,118.2
2019-09-30,34.62,$0.24,141.54
2019-06-30,40.39,$0.32,128.14
2019-03-31,36.81,$0.41,90.2
2018-12-31,27.58,$0.48,57.07
2018-09-30,43.45,$0.72,60.74
