Oshkosh Price to Free Cash Flow Ratio Historical Data,Oshkosh Price to Free Cash Flow Ratio Historical Data,Oshkosh Price to Free Cash Flow Ratio Historical Data,Oshkosh Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,106.16,,0.0
2024-06-30,107.72,$-3.87,0.0
2024-03-31,123.69,$-2.25,0.0
2023-12-31,107.07,$4.16,25.71
2023-09-30,94.25,$3.71,25.38
2023-06-30,85.17,$4.35,19.59
2023-03-31,81.36,$-0.04,0.0
2022-12-31,85.88,$5.02,17.12
2022-09-30,68.17,$4.59,14.87
2022-06-30,79.32,$8.23,9.64
2022-03-31,96.79,$16.21,5.97
2021-12-31,108.04,$16.14,6.69
2021-09-30,97.82,$16.27,6.01
2021-06-30,118.77,$11.20,10.61
2021-03-31,112.79,$9.15,12.33
2020-12-31,81.54,$5.05,16.16
2020-09-30,69.33,$-2.35,0.0
2020-06-30,67.31,$-2.80,0.0
2020-03-31,60.15,$-3.21,0.0
2019-12-31,88.19,$-2.35,0.0
2019-09-30,70.4,$-1.42,0.0
2019-06-30,77.24,$-3.44,0.0
2019-03-31,69.26,$-0.25,0.0
2018-12-31,56.32,$-1.42,0.0
2018-09-30,65.18,$0.16,420.0
2018-06-30,64.12,$1.12,57.04
2018-03-31,70.22,$-1.27,0.0
2017-12-31,82.37,$0.16,530.75
2017-09-30,74.59,$-1.40,0.0
2017-06-30,62.07,$0.45,138.68
2017-03-31,61.62,$1.52,40.5
2016-09-30,49.99,$0.74,67.31
2016-06-30,42.44,$3.80,11.18
2016-03-31,36.21,$3.35,10.81
2015-12-31,34.37,$0.74,46.27
2015-09-30,31.84,$-1.28,0.0
2015-06-30,36.98,$-2.98,0.0
2015-03-31,42.43,$-1.92,0.0
2014-12-31,42.15,$-1.28,0.0
2014-09-30,38.12,$-0.22,0.0
2014-06-30,47.79,$-2.61,0.0
2014-03-31,50.52,$-2.20,0.0
2013-12-31,43.11,$-0.47,0.0
2013-09-30,41.79,$0.00,0.0
2013-06-30,32.4,$2.88,11.25
2016-12-31,57.86,$0.76,76.07
2013-03-31,36.26,$0.38,94.93
2012-12-31,25.3,$0.43,58.77
2012-09-30,23.41,$-2.05,0.0
2012-06-30,17.88,$-1.50,0.0
2012-03-31,19.77,$0.83,23.83
2011-12-31,18.24,$2.45,7.44
2011-06-30,24.69,$-0.71,0.0
2011-03-31,30.19,$-3.63,0.0
2010-12-31,30.07,$1.93,15.59
2010-09-30,23.47,$-0.22,0.0
2010-06-30,26.59,$6.45,4.12
2010-03-31,34.42,$13.54,2.54
2009-12-31,31.6,$5.47,5.77
2009-06-30,12.41,$5.69,2.18
