Addus HomeCare Price to Free Cash Flow Ratio Historical Data,Addus HomeCare Price to Free Cash Flow Ratio Historical Data,Addus HomeCare Price to Free Cash Flow Ratio Historical Data,Addus HomeCare Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,133.01,,22.02
2024-06-30,116.11,$6.04,19.22
2024-03-31,103.34,$7.48,13.82
2023-12-31,92.85,$6.30,14.73
2023-09-30,85.19,$5.96,14.29
2023-06-30,92.7,$5.81,15.97
2023-03-31,106.76,$6.79,15.73
2022-12-31,99.49,$5.98,16.63
2022-09-30,95.24,$6.29,15.13
2022-06-30,83.28,$6.27,13.28
2022-03-31,93.29,$3.68,25.36
2021-12-31,93.51,$2.17,43.11
2021-09-30,79.75,$2.88,27.7
2021-06-30,87.24,$3.20,27.24
2021-03-31,104.59,$4.11,25.45
2020-12-31,117.09,$6.43,18.21
2020-09-30,94.51,$4.41,21.45
2020-06-30,92.56,$3.88,23.89
2020-03-31,67.6,$1.95,34.74
2019-12-31,97.22,$0.52,187.25
2019-09-30,79.28,$0.91,87.34
2019-06-30,74.95,$0.23,319.89
2019-03-31,63.59,$0.75,84.75
2018-12-31,67.88,$2.25,30.18
2018-09-30,70.15,$2.64,26.57
2018-06-30,57.25,$7.04,8.14
2018-03-31,48.65,$4.80,10.14
2017-12-31,34.8,$4.55,7.65
2017-09-30,35.3,$0.77,45.67
2017-06-30,37.2,$0.53,70.74
2017-03-31,32.0,$1.28,24.91
2016-12-31,35.05,$-0.22,0.0
2016-09-30,26.16,$2.12,12.36
2016-06-30,17.43,$-4.56,0.0
2016-03-31,17.19,$-0.25,0.0
2015-12-31,23.28,$0.17,137.59
2015-09-30,31.15,$0.57,54.68
2015-06-30,27.86,$2.22,12.53
2015-03-31,23.02,$-0.09,0.0
2014-12-31,24.27,$0.16,153.8
2014-09-30,19.6,$0.43,45.55
2014-06-30,22.48,$0.31,71.78
2014-03-31,23.05,$1.32,17.52
2013-12-31,22.45,$2.39,9.38
2013-09-30,28.97,$2.77,10.47
2013-06-30,19.74,$3.94,5.02
2013-03-31,13.19,$2.66,4.97
2012-12-31,7.15,$1.33,5.39
2012-09-30,5.35,$1.13,4.73
2012-06-30,4.91,$-0.80,0.0
2012-03-31,4.95,$0.23,22.0
2011-12-31,3.57,$1.43,2.49
2011-09-30,4.05,$1.60,2.53
2011-06-30,5.43,$3.60,1.51
2011-03-31,5.01,$1.87,2.68
2010-12-31,4.1,$0.95,4.31
2010-09-30,3.97,$-3.12,0.0
