Guardant Health Price to Free Cash Flow Ratio Historical Data,Guardant Health Price to Free Cash Flow Ratio Historical Data,Guardant Health Price to Free Cash Flow Ratio Historical Data,Guardant Health Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,20.68,,0.0
2024-06-30,28.88,$-2.52,0.0
2024-03-31,20.63,$-2.59,0.0
2023-12-31,27.05,$-3.08,0.0
2023-09-30,29.64,$-3.22,0.0
2023-06-30,35.8,$-3.64,0.0
2023-03-31,23.44,$-4.08,0.0
2022-12-31,27.2,$-3.79,0.0
2022-09-30,53.83,$-3.80,0.0
2022-06-30,40.34,$-3.57,0.0
2022-03-31,66.24,$-3.05,0.0
2021-12-31,100.02,$-2.80,0.0
2021-09-30,125.01,$-2.50,0.0
2021-06-30,124.19,$-1.92,0.0
2021-03-31,152.65,$-1.45,0.0
2020-12-31,128.88,$-1.44,0.0
2020-09-30,111.78,$-1.16,0.0
2020-06-30,81.13,$-1.04,0.0
2020-03-31,69.6,$-0.89,0.0
2019-12-31,78.14,$-0.73,0.0
2019-09-30,63.83,$-3.34,0.0
