Soleno Therapeutics Price to Free Cash Flow Ratio Historical Data,Soleno Therapeutics Price to Free Cash Flow Ratio Historical Data,Soleno Therapeutics Price to Free Cash Flow Ratio Historical Data,Soleno Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,53.5,,0.0
2024-06-30,40.8,$-1.11,0.0
2024-03-31,42.8,$-1.15,0.0
2023-12-31,40.25,$-1.51,0.0
2023-09-30,29.51,$-2.44,0.0
2023-06-30,4.29,$-2.48,0.0
2023-03-31,2.14,$-2.00,0.0
2022-12-31,1.98,$-2.48,0.0
2022-09-30,1.67,$-2.95,0.0
2022-06-30,2.77,$-3.49,0.0
2022-03-31,3.35,$-5.01,0.0
2021-12-31,6.15,$-5.23,0.0
2021-09-30,13.87,$-6.51,0.0
2021-06-30,17.1,$-5.00,0.0
2021-03-31,18.9,$-5.55,0.0
2020-12-31,28.95,$-6.04,0.0
2020-09-30,37.65,$-5.41,0.0
2020-06-30,33.3,$-8.01,0.0
2020-03-31,35.7,$-7.79,0.0
2019-12-31,44.1,$-7.64,0.0
2019-09-30,22.5,$-8.48,0.0
2019-06-30,42.0,$-8.06,0.0
2019-03-31,30.9,$-8.17,0.0
2018-12-31,25.65,$-8.36,0.0
2018-09-30,32.4,$-10.99,0.0
2018-06-30,35.1,$-12.35,0.0
2018-03-31,27.2,$-18.55,0.0
