American Price to Free Cash Flow Ratio Historical Data,American Price to Free Cash Flow Ratio Historical Data,American Price to Free Cash Flow Ratio Historical Data,American Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,77.05,,8.32
2024-06-30,74.24,$9.26,8.02
2024-03-31,77.75,$4.12,18.89
2023-12-31,67.06,$3.46,19.36
2023-09-30,59.67,$5.68,10.5
2023-06-30,56.32,$1.47,38.22
2022-12-31,61.12,$5.25,11.65
2022-09-30,45.66,$11.67,3.91
2022-06-30,48.88,$7.94,6.15
2022-03-31,59.64,$10.69,5.58
2021-12-31,53.73,$13.14,4.09
2023-03-31,48.98,$7.34,6.67
2021-09-30,51.57,$7.17,7.19
2021-06-30,44.46,$4.69,9.48
2021-03-31,42.89,$2.59,16.55
2020-12-31,34.91,$1.19,29.24
2020-09-30,25.18,$-0.45,0.0
2020-06-30,28.21,$-0.88,0.0
2020-03-31,21.73,$-1.59,0.0
2019-12-31,45.49,$-2.03,0.0
2019-09-30,49.05,$-1.27,0.0
2019-06-30,46.65,$-1.49,0.0
2019-03-31,37.48,$-0.53,0.0
2018-12-31,34.05,$-0.43,0.0
2018-09-30,45.6,$1.31,34.84
2018-06-30,45.14,$0.76,59.65
2018-03-31,46.07,$0.87,53.18
2017-12-31,50.14,$-8.40,0.0
2017-09-30,51.39,$-8.13,0.0
2017-06-30,52.06,$-6.82,0.0
2017-03-31,51.72,$-6.23,0.0
2016-12-31,53.84,$3.21,16.77
2016-09-30,48.67,$2.00,24.34
2016-06-30,43.15,$2.30,18.79
2016-03-31,43.84,$1.04,42.2
2015-12-31,49.96,$2.16,23.17
2015-09-30,45.6,$2.18,20.88
2015-06-30,49.37,$2.70,18.29
2015-03-31,43.67,$3.22,13.56
2014-12-31,44.54,$3.46,12.88
2014-09-30,42.86,$4.32,9.91
2014-06-30,43.21,$3.95,10.94
2014-03-31,39.5,$4.58,8.63
2013-12-31,40.22,$3.96,10.16
2013-09-30,38.24,$3.11,12.3
2013-06-30,35.08,$2.38,14.74
2013-03-31,30.46,$2.03,15.02
2012-12-31,27.7,$2.18,12.71
2012-09-30,25.73,$2.32,11.11
2012-06-30,25.18,$4.29,5.86
2012-03-31,24.19,$0.01,0.0
2011-12-31,18.2,$10.17,1.79
2011-09-30,17.22,$48.88,0.35
2011-03-31,27.57,$94.51,0.29
2010-12-31,37.94,$121.46,0.31
2010-09-30,25.75,$250.49,0.1
2010-06-30,22.68,$122.87,0.18
2010-03-31,22.48,$103.08,0.22
2009-12-31,19.74,$110.20,0.18
2011-06-30,23.01,$-1.93,0.0
