Fastenal Price to Free Cash Flow Ratio Historical Data,Fastenal Price to Free Cash Flow Ratio Historical Data,Fastenal Price to Free Cash Flow Ratio Historical Data,Fastenal Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,68.28,,33.79
2024-06-30,62.49,$2.02,30.92
2024-03-31,76.28,$2.10,36.39
2023-12-31,63.68,$2.22,28.68
2023-09-30,53.06,$2.11,25.14
2023-06-30,56.95,$1.88,30.25
2023-03-31,51.73,$1.64,31.61
2022-12-31,45.07,$1.35,33.32
2022-09-30,43.56,$1.10,39.55
2022-06-30,46.93,$0.94,50.01
2022-03-31,55.54,$0.99,55.88
2021-12-31,59.57,$1.08,55.28
2021-09-30,47.75,$1.36,35.06
2021-06-30,47.87,$1.60,29.93
2021-03-31,46.03,$1.73,26.66
2020-12-31,44.44,$1.64,27.09
2020-09-30,40.47,$1.49,27.16
2020-06-30,38.25,$1.39,27.6
2020-03-31,27.71,$1.12,24.7
2019-12-31,32.54,$1.05,31.0
2019-09-30,28.6,$0.89,32.14
2019-06-30,28.34,$0.81,35.15
2019-03-31,27.79,$0.92,30.15
2018-12-31,22.44,$0.88,25.39
2018-09-30,24.7,$0.87,28.41
2018-06-30,20.34,$0.85,23.88
2018-03-31,22.9,$0.72,31.96
2017-12-31,22.79,$0.82,27.81
2017-09-30,18.87,$0.85,22.32
2017-06-30,17.89,$0.71,25.24
2017-03-31,21.01,$0.67,31.14
2016-12-31,19.05,$0.58,32.7
2016-09-30,16.81,$0.59,28.36
2016-06-30,17.73,$0.68,26.07
2016-03-31,19.44,$0.70,27.83
2015-12-31,16.07,$0.69,23.17
2015-09-30,14.31,$0.70,20.35
2015-06-30,16.37,$0.62,26.43
2015-03-31,15.98,$0.58,27.74
2014-12-31,18.22,$0.53,34.32
2014-09-30,17.1,$0.39,43.45
2014-06-30,18.75,$0.37,51.08
2014-03-31,18.58,$0.37,50.19
2013-12-31,17.81,$0.36,49.4
2013-09-30,18.74,$0.39,47.57
2013-06-30,16.98,$0.41,41.09
2013-03-31,18.96,$0.44,42.8
2012-12-31,17.19,$0.44,38.94
2012-09-30,15.58,$0.42,37.1
2012-06-30,14.54,$0.42,35.04
2012-03-31,19.45,$0.34,56.75
2011-12-31,15.62,$0.26,60.81
2011-09-30,11.88,$0.25,47.1
2011-06-30,12.79,$0.22,58.8
2011-03-31,11.48,$0.26,44.12
2010-12-31,10.52,$0.29,36.21
2010-09-30,9.27,$0.28,32.54
2010-06-30,8.67,$0.35,24.51
2010-03-31,8.29,$0.43,19.37
2009-12-31,7.13,$0.44,16.37
