Red Rock Resorts Price to Free Cash Flow Ratio Historical Data,Red Rock Resorts Price to Free Cash Flow Ratio Historical Data,Red Rock Resorts Price to Free Cash Flow Ratio Historical Data,Red Rock Resorts Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,52.59,,36.33
2024-06-30,54.93,$1.45,37.95
2024-03-31,59.82,$-0.80,0.0
2023-12-31,53.33,$-1.43,0.0
2023-09-30,41.0,$-1.22,0.0
2023-06-30,46.78,$-3.28,0.0
2023-03-31,44.57,$-0.48,0.0
2022-12-31,40.01,$0.98,40.88
2022-09-30,34.26,$7.20,4.76
2022-06-30,33.14,$10.88,3.05
2022-03-31,47.9,$10.02,4.78
2021-12-31,53.95,$10.50,5.14
2021-09-30,47.27,$5.68,8.32
2021-06-30,39.22,$6.06,6.47
2021-03-31,30.08,$3.53,8.52
2020-12-31,23.11,$2.20,10.53
2020-09-30,15.78,$1.30,12.14
2020-06-30,10.07,$-0.88,0.0
2020-03-31,7.89,$-0.19,0.0
2019-12-31,21.83,$-1.34,0.0
2019-09-30,18.43,$-3.42,0.0
2019-06-30,19.41,$-3.58,0.0
2019-03-31,23.26,$-2.90,0.0
2018-12-31,18.21,$-2.27,0.0
2018-09-30,23.79,$-0.97,0.0
2018-06-30,29.8,$-0.04,0.0
2018-03-31,26.04,$-0.93,0.0
2017-12-31,30.01,$0.17,181.76
2017-09-30,20.6,$2.51,8.2
2017-06-30,20.95,$2.49,8.4
2017-03-31,19.73,$6.51,3.03
