Harley-Davidson Price to Free Cash Flow Ratio Historical Data,Harley-Davidson Price to Free Cash Flow Ratio Historical Data,Harley-Davidson Price to Free Cash Flow Ratio Historical Data,Harley-Davidson Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,36.65,,7.04
2024-06-30,33.39,$5.20,6.42
2024-03-31,43.54,$4.18,10.41
2023-12-31,36.5,$3.77,9.67
2023-09-30,32.59,$3.26,9.99
2023-06-30,34.53,$3.60,9.59
2023-03-31,37.05,$1.94,19.06
2022-12-31,40.45,$2.66,15.23
2022-09-30,33.8,$3.28,10.31
2022-06-30,30.56,$2.89,10.58
2022-03-31,37.86,$-0.56,0.0
2021-12-31,36.08,$-1.25,0.0
2021-09-30,34.91,$2.02,17.24
2021-06-30,43.51,$4.18,10.4
2020-12-31,34.6,$6.80,5.09
2020-09-30,23.12,$10.20,2.27
2020-06-30,22.38,$7.90,2.83
2020-03-31,17.81,$6.13,2.91
2019-12-31,34.55,$9.00,3.84
2021-03-31,37.96,$5.57,6.82
2019-09-30,33.09,$4.58,7.23
2019-06-30,32.62,$4.56,7.15
2019-03-31,32.1,$4.98,6.45
2018-12-31,30.4,$5.96,5.1
2018-09-30,39.94,$5.74,6.96
2018-06-30,36.8,$5.43,6.78
2018-03-31,37.17,$4.82,7.72
2017-12-31,43.76,$4.62,9.47
2017-09-30,41.16,$5.71,7.21
2017-06-30,45.77,$6.34,7.22
2017-03-31,50.91,$5.84,8.72
2016-12-31,48.78,$5.09,9.59
2016-09-30,43.72,$4.08,10.71
2016-06-30,37.4,$3.51,10.65
2016-03-31,42.05,$3.49,12.04
2015-12-31,36.85,$4.12,8.93
2015-09-30,44.27,$4.61,9.61
2015-06-30,45.19,$4.47,10.11
2015-03-31,48.44,$4.04,11.99
2014-12-31,52.3,$4.20,12.45
2014-09-30,46.0,$4.14,11.11
2014-06-30,54.97,$4.26,12.92
2014-03-31,52.22,$4.82,10.84
2013-12-31,54.05,$3.43,15.75
2013-09-30,49.99,$3.16,15.83
2013-06-30,42.52,$3.12,13.61
2013-03-31,41.19,$2.52,16.35
2012-12-31,37.58,$2.67,14.07
2012-09-30,32.51,$2.30,14.15
2012-06-30,34.96,$2.24,15.59
2012-03-31,37.4,$3.10,12.06
2011-12-31,29.52,$2.96,9.96
2011-09-30,25.98,$2.95,8.81
2011-06-30,30.9,$3.04,10.16
2011-03-31,31.94,$1.56,20.5
2010-12-31,26.0,$2.15,12.06
2010-09-30,21.26,$5.40,3.94
2010-06-30,16.56,$3.96,4.18
2009-12-31,18.63,$2.11,8.84
2009-09-30,16.94,$2.87,5.91
