BanColombia S.A Price to Free Cash Flow Ratio Historical Data,BanColombia S.A Price to Free Cash Flow Ratio Historical Data,BanColombia S.A Price to Free Cash Flow Ratio Historical Data,BanColombia S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,32.11,,0.0
2024-06-30,31.81,$-15.66,0.0
2024-03-31,32.48,$-27.13,0.0
2023-12-31,28.45,0,0.0
2023-09-30,24.03,0,0.0
2023-06-30,23.36,0,0.0
2023-03-31,21.38,0,0.0
2022-12-31,23.62,0,0.0
2022-09-30,19.81,0,0.0
2022-06-30,24.45,0,0.0
2022-03-31,33.18,0,0.0
2021-12-31,24.15,0,0.0
2021-09-30,26.41,0,0.0
2021-06-30,21.93,0,0.0
2021-03-31,24.26,0,0.0
2020-12-31,30.48,0,0.0
2020-09-30,19.24,0,0.0
2020-06-30,19.6,0,0.0
2020-03-31,18.4,0,0.0
2019-12-31,39.28,0,0.0
2019-09-30,35.26,0,0.0
2019-06-30,36.19,0,0.0
2019-03-31,35.77,0,0.0
2018-12-31,26.69,0,0.0
2018-09-30,29.0,0,0.0
2018-06-30,32.94,0,0.0
2018-03-31,28.76,0,0.0
2017-12-31,26.91,0,0.0
2017-09-30,30.83,0,0.0
2017-06-30,29.78,0,0.0
2017-03-31,26.47,0,0.0
2016-12-31,24.16,0,0.0
2016-09-30,25.5,$1.75,14.6
2016-06-30,22.63,$1.75,12.96
2016-03-31,21.97,$1.75,12.57
2015-12-31,17.04,$-10.70,0.0
2015-06-30,26.92,$-12.45,0.0
2015-03-31,24.25,$-12.45,0.0
2014-12-31,29.52,$-12.45,0.0
2014-09-30,34.74,$9.13,3.81
2014-06-30,35.16,$9.13,3.85
2014-03-31,34.11,$9.13,3.74
2013-12-31,29.4,$9.13,3.22
2013-09-30,34.22,$2.07,16.51
2013-06-30,33.38,$2.07,16.1
2013-03-31,37.09,$2.07,17.89
2012-12-31,38.78,$2.07,18.71
2012-09-30,34.57,$-12.08,0.0
2012-06-30,35.57,$-12.08,0.0
2012-03-31,36.94,$-12.08,0.0
2011-12-31,33.81,$-12.08,0.0
2011-09-30,31.43,$-9.58,0.0
2011-06-30,37.45,$-9.58,0.0
2011-03-31,34.97,$-9.58,0.0
2010-12-31,34.36,$-9.58,0.0
2010-09-30,36.02,$13.05,2.76
2010-06-30,27.37,$13.05,2.1
2010-03-31,24.76,$13.05,1.9
2009-12-31,24.51,$13.05,1.88
