Boyd Gaming Price to Free Cash Flow Ratio Historical Data,Boyd Gaming Price to Free Cash Flow Ratio Historical Data,Boyd Gaming Price to Free Cash Flow Ratio Historical Data,Boyd Gaming Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,66.08,,70.49
2024-06-30,54.95,$0.94,58.62
2023-12-31,62.07,$5.33,11.64
2023-09-30,60.15,$8.98,6.7
2023-06-30,68.42,$9.35,7.32
2023-03-31,63.1,$10.19,6.19
2022-12-31,53.52,$9.99,5.36
2024-03-31,66.92,$7.00,9.56
2022-09-30,46.65,$6.86,6.8
2022-06-30,48.55,$9.54,5.09
2022-03-31,64.0,$8.79,7.29
2021-12-31,63.51,$8.24,7.7
2021-09-30,61.27,$5.80,10.56
2020-12-31,41.57,$1.00,41.39
2020-09-30,29.73,$-0.37,0.0
2020-06-30,20.24,$-0.32,0.0
2020-03-31,13.97,$1.57,8.92
2019-12-31,29.0,$2.34,12.4
2021-06-30,59.56,$3.53,16.85
2019-09-30,23.14,$5.79,3.99
2019-06-30,25.96,$3.12,8.33
2019-03-31,26.29,$2.22,11.82
2018-12-31,19.93,$2.37,8.4
2018-09-30,32.37,$-0.73,0.0
2018-06-30,33.08,$1.76,18.78
2018-03-31,30.36,$1.21,25.06
2017-12-31,33.35,$2.00,16.7
2017-09-30,24.75,$1.81,13.64
2017-06-30,23.53,$1.03,22.8
2021-03-31,57.11,$2.37,24.13
2017-03-31,20.83,$1.15,18.16
2016-12-31,19.09,$1.22,15.71
2016-09-30,18.72,$1.56,11.99
2016-06-30,17.41,$1.60,10.85
2016-03-31,19.55,$1.74,11.21
2015-12-31,18.8,$1.71,10.99
2015-09-30,15.43,$1.49,10.38
2015-06-30,14.15,$1.48,9.54
2015-03-31,13.44,$1.38,9.71
2014-12-31,12.09,$1.38,8.77
2014-09-30,9.62,$1.51,6.38
2014-06-30,11.48,$0.72,16.03
2014-03-31,12.49,$0.64,19.51
2013-12-31,10.66,$4.95,2.15
2013-09-30,13.39,$4.42,3.03
2013-06-30,10.69,$4.79,2.23
2013-03-31,7.83,$4.40,1.78
2012-12-31,6.28,$0.25,25.48
2012-09-30,6.68,$1.34,4.99
2012-06-30,6.81,$1.56,4.36
2012-03-31,7.42,$1.74,4.27
2011-12-31,7.06,$1.88,3.76
2011-09-30,4.64,$1.25,3.71
2011-06-30,8.23,$1.82,4.53
2011-03-31,8.87,$2.39,3.71
2010-12-31,10.03,$2.23,4.5
2010-09-30,6.86,$2.84,2.42
2010-06-30,8.03,$2.49,3.23
2010-03-31,9.35,$1.88,4.98
2009-12-31,7.92,$0.98,8.12
