BP Price to Free Cash Flow Ratio Historical Data,BP Price to Free Cash Flow Ratio Historical Data,BP Price to Free Cash Flow Ratio Historical Data,BP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,31.32,,5.44
2024-06-30,35.59,$5.75,6.18
2024-03-31,36.71,$5.04,7.29
2023-12-31,34.07,$6.05,5.64
2023-09-30,36.81,$7.43,4.95
2023-06-30,33.16,$7.39,4.49
2023-03-31,35.26,$8.96,3.94
2022-12-31,32.15,$9.34,3.44
2022-09-30,25.99,$7.38,3.52
2022-06-30,25.51,$6.56,3.89
2022-03-31,26.17,$4.91,5.33
2021-12-31,23.46,$4.11,5.71
2021-09-30,23.8,$2.92,8.16
2021-06-30,22.71,$2.70,8.42
2021-03-31,20.69,$2.01,10.29
2020-12-31,17.19,$0.10,166.93
2020-09-30,14.34,$1.25,11.43
2020-06-30,18.9,$1.13,16.68
2020-03-31,19.27,$1.81,10.66
2019-12-31,29.3,$3.19,9.18
2019-09-30,29.04,$2.56,11.34
2019-06-30,31.36,$2.64,11.89
2019-03-31,32.88,$2.62,12.55
2018-12-31,28.11,$2.12,13.25
2018-09-30,34.17,$2.81,12.18
2018-06-30,33.37,$2.68,12.46
2018-03-31,29.25,$2.11,13.83
2017-12-31,29.87,$1.61,18.6
2017-09-30,26.92,$-0.12,0.0
2017-06-30,23.87,$-0.82,0.0
2017-03-31,23.38,$-1.23,0.0
2016-12-31,24.88,$-1.48,0.0
2016-09-30,22.99,$-0.66,0.0
2016-06-30,22.8,$-0.28,0.0
2016-03-31,19.02,$0.49,38.54
2015-12-31,19.29,$0.51,37.98
2015-09-30,18.55,$0.79,23.52
2015-06-30,23.86,$1.97,12.13
2015-03-31,23.03,$2.13,10.8
2014-12-31,22.12,$3.90,5.67
2014-09-30,25.14,$3.05,8.24
2014-06-30,29.81,$1.85,16.11
2014-03-31,26.87,$1.02,26.39
2013-12-31,26.84,$4.63,5.8
2013-09-30,22.93,$6.89,3.33
2013-06-30,22.48,$7.20,3.12
2013-03-31,22.53,$7.19,3.13
2012-12-31,21.87,$2.27,9.63
2012-09-30,21.96,$0.52,42.51
2012-06-30,20.78,$0.93,22.46
2012-03-31,22.79,$2.47,9.24
2011-12-31,21.42,$2.42,8.86
2011-09-30,17.91,$1.39,12.88
2011-06-30,21.78,$0.02,1170.76
2011-03-31,21.5,$-0.55,0.0
2010-12-31,21.32,$0.85,25.13
2010-09-30,19.87,$2.40,8.29
2010-06-30,13.94,$3.92,3.55
2010-03-31,27.1,$3.55,7.64
2009-12-31,27.1,$2.78,9.76
