Ingles Markets Price to Free Cash Flow Ratio Historical Data,Ingles Markets Price to Free Cash Flow Ratio Historical Data,Ingles Markets Price to Free Cash Flow Ratio Historical Data,Ingles Markets Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,64.24,,14.34
2024-06-30,68.27,$4.48,15.24
2024-03-31,76.13,$3.51,21.68
2023-12-31,85.59,$2.13,40.19
2023-09-30,74.49,$4.09,18.23
2023-06-30,81.57,$3.14,26.01
2023-03-31,87.38,$4.42,19.78
2022-12-31,94.86,$6.25,15.17
2022-09-30,77.74,$9.41,8.27
2022-06-30,84.97,$10.64,7.99
2022-03-31,87.07,$10.75,8.1
2021-12-31,84.26,$9.53,8.84
2021-09-30,64.28,$7.34,8.76
2021-06-30,56.56,$7.60,7.44
2021-03-31,59.69,$5.92,10.09
2020-12-31,41.14,$10.12,4.06
2020-09-30,36.53,$8.84,4.13
2020-06-30,41.19,$7.09,5.81
2020-03-31,34.44,$6.13,5.62
2019-12-31,45.09,$2.14,21.07
2019-09-30,36.72,$2.23,16.49
2019-06-30,29.27,$2.05,14.26
2019-03-31,25.81,$2.10,12.32
2018-12-31,25.29,$0.95,26.63
2018-09-30,31.66,$0.50,63.84
2018-06-30,29.24,$0.02,1265.74
2018-03-31,30.97,$0.09,336.3
2017-12-31,31.51,$0.84,37.42
2017-09-30,23.25,$1.17,19.87
2017-06-30,29.98,$1.68,17.87
2017-03-31,38.7,$1.61,24.1
2016-12-31,42.99,$1.71,25.12
2016-09-30,35.19,$0.83,42.23
2016-06-30,33.06,$0.79,41.64
2016-03-31,33.08,$0.95,34.82
2015-12-31,38.73,$1.92,20.18
2015-09-30,41.87,$2.01,20.87
2015-06-30,41.68,$2.51,16.64
2015-03-31,43.03,$2.06,20.89
2014-12-31,32.12,$0.93,34.58
2014-09-30,20.38,$1.46,13.92
2014-06-30,22.52,$0.99,22.84
2014-03-31,20.22,$1.30,15.56
2013-12-31,22.86,$1.76,12.99
2013-09-30,24.09,$1.49,16.21
2013-06-30,21.03,$0.91,23.14
2013-03-31,17.75,$-0.30,0.0
2012-12-31,14.27,$-0.64,0.0
2012-09-30,12.76,$-1.28,0.0
2012-06-30,12.39,$-1.88,0.0
2012-03-31,13.5,$-0.88,0.0
2011-12-31,11.4,$-1.35,0.0
2011-09-30,10.67,$0.08,133.65
2011-06-30,12.27,$0.87,14.1
2011-03-31,14.57,$0.39,37.42
2010-12-31,14.0,$1.18,11.88
2010-09-30,11.99,$0.96,12.47
2010-06-30,10.74,$1.27,8.47
2010-03-31,10.62,$1.16,9.12
2009-12-31,10.57,$-1.38,0.0
