Cinemark Holdings Inc Price to Free Cash Flow Ratio Historical Data,Cinemark Holdings Inc Price to Free Cash Flow Ratio Historical Data,Cinemark Holdings Inc Price to Free Cash Flow Ratio Historical Data,Cinemark Holdings Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,28.93,,20.46
2024-06-30,21.62,$1.41,15.29
2024-03-31,17.97,$1.81,9.92
2023-12-31,14.09,$1.96,7.19
2023-09-30,18.35,$2.17,8.45
2023-06-30,16.5,$1.48,11.11
2023-03-31,14.79,$1.26,11.76
2022-12-31,8.66,$0.34,25.78
2022-09-30,12.11,$1.27,9.55
2022-06-30,15.02,$1.25,12.04
2022-03-31,17.28,$0.79,21.9
2021-12-31,16.12,$0.66,24.59
2021-09-30,19.21,$-2.36,0.0
2021-06-30,21.95,$-2.27,0.0
2021-03-31,20.41,$-4.33,0.0
2020-12-31,17.41,$-3.54,0.0
2020-09-30,10.0,$-1.58,0.0
2020-06-30,11.55,$-1.09,0.0
2020-03-31,10.19,$1.41,7.2
2019-12-31,33.33,$2.24,14.86
2019-09-30,37.67,$2.73,13.79
2019-06-30,34.88,$2.44,14.32
2019-03-31,38.29,$2.21,17.3
2018-12-31,33.98,$1.85,18.41
2018-09-30,37.84,$1.78,21.22
2018-06-30,32.74,$1.85,17.67
2018-03-31,34.83,$0.90,38.9
2017-12-31,31.95,$1.41,22.71
2017-09-30,32.96,$1.31,25.13
2017-06-30,35.05,$1.18,29.62
2017-03-31,39.71,$1.58,25.21
2016-12-31,34.12,$1.21,28.3
2016-09-30,33.82,$1.60,21.09
2016-06-30,31.98,$1.50,21.25
2016-03-31,31.19,$1.84,16.91
2015-12-31,28.86,$1.16,24.83
2015-09-30,27.85,$1.25,22.26
2015-06-30,34.19,$1.60,21.4
2015-03-31,38.13,$1.26,30.2
2014-12-31,29.92,$1.85,16.19
2014-09-30,28.43,$0.91,31.27
2014-06-30,29.32,$0.88,33.17
2014-03-31,23.87,$0.70,34.29
2013-12-31,27.19,$0.74,36.91
2013-09-30,25.7,$0.85,30.26
2013-06-30,22.42,$1.19,18.86
2013-03-31,23.47,$1.22,19.2
2012-12-31,20.56,$1.55,13.26
2012-09-30,17.61,$1.50,11.74
2012-06-30,17.78,$1.71,10.39
2012-03-31,16.92,$2.10,8.07
2011-12-31,14.11,$1.88,7.51
2011-09-30,14.26,$2.05,6.95
2011-06-30,15.47,$1.58,9.81
2011-03-31,14.31,$1.17,12.28
2010-12-31,12.61,$1.16,10.84
2010-09-30,11.64,$1.60,7.27
2010-06-30,9.4,$1.61,5.83
2010-03-31,12.95,$0.45,28.68
2009-12-31,10.04,$0.49,20.44
