Restaurant Brands Price to Free Cash Flow Ratio Historical Data,Restaurant Brands Price to Free Cash Flow Ratio Historical Data,Restaurant Brands Price to Free Cash Flow Ratio Historical Data,Restaurant Brands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,71.07,,26.72
2024-06-30,69.79,$2.66,26.24
2024-03-31,78.15,$2.82,27.76
2023-12-31,76.3,$2.72,28.06
2023-09-30,64.58,$2.72,23.77
2023-06-30,74.55,$2.64,28.27
2023-03-31,64.11,$2.76,23.22
2022-12-31,61.2,$3.08,19.86
2022-09-30,49.91,$3.21,15.56
2022-06-30,46.64,$3.43,13.61
2022-03-31,53.7,$3.46,15.52
2021-12-31,55.29,$3.53,15.68
2021-09-30,55.25,$3.16,17.48
2021-06-30,57.69,$2.83,20.38
2021-03-31,57.72,$2.05,28.17
2020-12-31,53.82,$1.74,30.87
2020-09-30,50.23,$2.28,22.06
2020-06-30,47.27,$2.44,19.34
2020-03-31,34.32,$2.96,11.59
2019-12-31,54.06,$3.03,17.83
2019-09-30,59.85,$2.91,20.6
2019-06-30,58.1,$2.76,21.03
2019-03-31,54.0,$2.87,18.81
2018-12-31,43.03,$2.30,18.73
2018-09-30,48.37,$2.43,19.88
2018-06-30,48.81,$2.44,20.02
2018-03-31,45.72,$2.05,22.29
2017-12-31,49.0,$2.89,16.94
2017-09-30,50.74,$2.48,20.43
2017-06-30,49.52,$2.60,19.03
2017-03-31,43.99,$2.85,15.45
2016-12-31,37.49,$2.63,14.26
2016-09-30,34.95,$2.38,14.67
2016-06-30,32.5,$2.39,13.6
2016-03-31,30.23,$2.17,13.92
2015-12-31,28.97,$2.29,12.66
2015-09-30,27.75,$2.43,11.44
