Himax Technologies Price to Free Cash Flow Ratio Historical Data,Himax Technologies Price to Free Cash Flow Ratio Historical Data,Himax Technologies Price to Free Cash Flow Ratio Historical Data,Himax Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.36,,7.75
2024-06-30,7.94,$0.82,9.67
2024-03-31,5.16,$0.69,7.52
2023-12-31,5.86,$0.74,7.9
2023-09-30,5.63,$0.45,12.48
2023-06-30,6.51,$0.33,19.47
2023-03-31,7.33,$0.38,19.34
2022-12-31,5.6,$0.41,13.76
2022-09-30,4.36,$1.42,3.08
2022-06-30,6.74,$1.79,3.76
2022-03-31,8.39,$2.23,3.75
2021-12-31,12.35,$2.18,5.67
2021-09-30,8.24,$1.54,5.37
2021-06-30,12.87,$1.43,9.0
2021-03-31,10.37,$0.85,12.17
2020-12-31,5.61,$0.56,10.0
2020-09-30,2.7,$0.29,9.18
2020-06-30,3.14,$0.02,136.73
2020-03-31,2.08,$-0.01,0.0
2019-12-31,2.02,$-0.22,0.0
2019-09-30,1.72,$-0.36,0.0
2019-06-30,2.64,$-0.35,0.0
2019-03-31,2.42,$-0.33,0.0
2018-12-31,2.61,$-0.26,0.0
2018-09-30,4.47,$-0.29,0.0
2018-06-30,5.59,$-0.22,0.0
2018-03-31,4.62,$-0.17,0.0
2017-12-31,7.81,$-0.06,0.0
2017-09-30,8.2,$0.25,33.31
2017-06-30,5.97,$0.32,18.41
2017-03-31,6.64,$0.35,18.78
2016-12-31,4.4,$0.45,9.88
2016-09-30,6.26,$0.25,24.9
2016-06-30,5.93,$0.04,141.98
2016-03-31,8.08,$0.06,146.04
2015-09-30,5.73,$0.15,37.31
2015-06-30,5.77,$0.21,27.79
2015-03-31,4.39,$0.41,10.69
2014-12-31,5.59,$0.48,11.62
2014-09-30,7.03,$0.24,29.72
2014-06-30,4.56,$0.25,17.96
2014-03-31,7.65,$0.09,83.34
2013-12-31,9.77,$0.20,49.49
2013-09-30,6.64,$0.53,12.64
2013-06-30,3.31,$0.34,9.88
2013-03-31,3.45,$0.40,8.63
2012-12-31,1.52,$0.27,5.71
2012-09-30,1.24,$0.06,20.98
2012-06-30,1.15,$0.11,10.83
2012-03-31,1.26,$0.15,8.33
2011-12-31,0.61,$0.42,1.44
2011-09-30,0.68,$0.34,2.01
2011-03-31,1.37,$0.22,6.17
2010-12-31,1.36,$0.28,4.79
2010-09-30,1.43,$0.35,4.1
2010-06-30,1.55,$0.35,4.45
2010-03-31,1.66,$0.14,11.56
2009-12-31,1.48,$0.35,4.23
2009-09-30,1.77,0,0.0
