CubeSmart Price to Free Cash Flow Ratio Historical Data,CubeSmart Price to Free Cash Flow Ratio Historical Data,CubeSmart Price to Free Cash Flow Ratio Historical Data,CubeSmart Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,49.9,,20.36
2024-06-30,44.22,$2.45,18.05
2024-03-31,44.27,$2.40,18.43
2023-12-31,44.87,$2.43,18.5
2023-09-30,36.51,$2.50,14.62
2023-06-30,42.22,$2.37,17.78
2023-03-31,43.22,$2.23,19.4
2022-12-31,37.25,$2.04,18.24
2022-09-30,36.62,$1.52,24.11
2022-06-30,38.64,$1.34,28.94
2022-03-31,46.59,$1.20,38.8
2021-12-31,50.55,$1.28,39.4
2021-09-30,42.71,$-0.11,0.0
2021-06-30,40.55,$-0.21,0.0
2021-03-31,32.87,$-0.46,0.0
2020-12-31,28.95,$-0.60,0.0
2020-09-30,27.55,$0.79,34.95
2020-06-30,22.78,$0.75,30.31
2020-03-31,22.34,$0.99,22.5
2019-12-31,25.93,$0.92,28.19
2019-09-30,28.45,$0.50,57.46
2019-06-30,27.01,$0.30,89.83
2019-03-31,25.63,$0.26,98.22
2018-12-31,22.73,$0.34,67.78
2018-09-30,22.6,$0.75,30.25
2018-06-30,25.26,$1.06,23.79
2018-03-31,21.9,$1.05,20.88
2017-12-31,22.23,$1.07,20.69
2017-09-30,19.75,$0.91,21.65
2017-06-30,18.1,$0.48,37.96
2017-03-31,19.32,$0.04,442.19
2016-12-31,19.72,$-0.86,0.0
2016-09-30,19.88,$0.49,40.33
2016-06-30,22.35,$-0.08,0.0
2016-03-31,23.94,$0.58,41.56
2015-12-31,21.87,$1.13,19.33
2015-09-30,19.3,$0.26,75.35
2015-06-30,16.33,$2.50,6.52
2015-03-31,16.91,$0.86,19.62
2014-12-31,15.36,$1.06,14.52
2014-09-30,12.42,$1.64,7.57
2014-06-30,12.57,$0.25,49.63
2014-03-31,11.69,$0.87,13.44
2013-12-31,10.77,$0.89,12.11
2013-09-30,11.96,$1.92,6.24
2013-06-30,10.65,$1.08,9.86
2013-03-31,10.46,$1.25,8.36
2012-12-31,9.57,$1.19,8.02
2012-09-30,8.39,$-4.35,0.0
2012-06-30,7.56,$-3.31,0.0
2012-03-31,7.61,$-3.26,0.0
2011-12-31,6.75,$-3.33,0.0
2011-09-30,5.37,$0.23,22.87
2011-06-30,6.58,$-0.33,0.0
2011-03-31,6.53,$0.03,214.86
2010-12-31,5.87,$0.05,126.03
2010-09-30,5.13,$0.39,13.3
2010-06-30,4.57,$1.26,3.63
2010-03-31,4.39,$1.49,2.96
2009-12-31,4.45,$1.59,2.81
