TripAdvisor Price to Free Cash Flow Ratio Historical Data,TripAdvisor Price to Free Cash Flow Ratio Historical Data,TripAdvisor Price to Free Cash Flow Ratio Historical Data,TripAdvisor Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,15.27,,18.15
2024-06-30,17.81,$0.84,21.17
2024-03-31,27.79,$1.23,22.53
2023-12-31,21.53,$1.19,18.15
2023-09-30,16.58,$1.07,15.48
2023-06-30,16.49,$1.36,12.1
2023-03-31,19.86,$2.68,7.4
2022-12-31,17.98,$2.36,7.63
2022-09-30,22.08,$3.11,7.11
2022-06-30,17.8,$2.24,7.96
2022-03-31,27.12,$1.13,24.1
2021-12-31,27.26,$0.39,69.15
2021-09-30,33.85,$-0.14,0.0
2021-06-30,40.3,$0.12,336.11
2021-03-31,53.79,$-1.40,0.0
2020-12-31,28.78,$-1.84,0.0
2020-09-30,19.59,$-1.44,0.0
2020-06-30,19.01,$-1.26,0.0
2020-03-31,17.39,$0.59,29.66
2019-12-31,30.38,$2.42,12.56
2019-09-30,34.43,$2.30,15.0
2019-06-30,41.21,$2.41,17.08
2019-03-31,45.8,$2.49,18.38
2018-12-31,48.02,$2.46,19.54
2018-09-30,45.46,$2.35,19.32
2018-06-30,49.59,$1.32,37.47
2018-03-31,36.4,$1.58,23.06
2017-12-31,30.68,$1.24,24.68
2017-09-30,36.08,$1.43,25.28
2017-06-30,34.01,$1.74,19.56
2017-03-31,38.42,$1.77,21.76
2016-12-31,41.28,$1.69,24.37
2016-09-30,56.24,$1.92,29.27
2016-06-30,57.24,$2.66,21.49
2016-03-31,59.2,$2.38,24.88
2015-12-31,75.89,$2.12,35.85
2015-09-30,56.1,$2.06,27.21
2015-06-30,77.57,$2.37,32.73
2015-03-31,74.04,$2.09,35.44
2014-12-31,66.46,$2.23,29.77
2014-09-30,81.38,$2.24,36.32
2014-06-30,96.73,$2.82,34.3
2014-03-31,80.64,$2.40,33.67
2013-12-31,73.74,$2.03,36.37
2013-09-30,67.51,$2.11,32.05
2013-06-30,54.19,$1.69,32.14
2013-03-31,46.75,$1.57,29.84
2012-12-31,37.32,$1.49,25.06
2012-09-30,29.31,$2.48,11.81
