OneSpaWorld Holdings Price to Free Cash Flow Ratio Historical Data,OneSpaWorld Holdings Price to Free Cash Flow Ratio Historical Data,OneSpaWorld Holdings Price to Free Cash Flow Ratio Historical Data,OneSpaWorld Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,17.82,,28.32
2024-06-30,15.37,$0.63,24.42
2024-03-31,13.23,$0.72,18.46
2023-12-31,14.1,$0.59,23.8
2023-09-30,11.22,$0.49,22.7
2023-06-30,12.1,$0.44,27.24
2023-03-31,11.99,$0.24,51.02
2022-12-31,9.33,$0.21,44.51
2022-09-30,8.4,$0.08,100.48
2022-06-30,7.17,$-0.18,0.0
2022-03-31,10.2,$-0.33,0.0
2021-12-31,10.02,$-0.42,0.0
2021-09-30,9.97,$-0.62,0.0
2021-06-30,9.69,$-0.58,0.0
2021-03-31,10.65,$-0.67,0.0
2020-12-31,10.14,$-0.52,0.0
2020-09-30,6.5,$-0.21,0.0
2020-06-30,4.77,$0.11,41.92
2020-03-31,4.06,$-0.00,0.0
2019-12-31,16.8,$-0.05,0.0
2019-09-30,15.49,$-0.10,0.0
2019-06-30,15.46,$-0.32,0.0
2019-03-31,13.63,0,0.0
2018-12-31,9.99,0,0.0
2018-09-30,9.74,0,0.0
