TORM Price to Free Cash Flow Ratio Historical Data,TORM Price to Free Cash Flow Ratio Historical Data,TORM Price to Free Cash Flow Ratio Historical Data,TORM Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,29.9,,4.07
2024-06-30,36.93,$7.35,5.03
2024-03-31,30.73,$5.45,5.63
2023-12-31,26.74,$5.33,5.02
2023-09-30,23.14,$6.11,3.79
2023-06-30,19.16,$6.05,3.16
2023-03-31,23.39,$6.24,3.75
2022-12-31,20.33,$5.91,3.44
2022-09-30,13.45,$2.67,5.03
2022-06-30,8.72,$-0.14,0.0
2022-03-31,5.7,$-3.25,0.0
2021-12-31,5.13,$-3.34,0.0
2021-09-30,4.98,$-3.39,0.0
2021-06-30,5.67,$-1.22,0.0
2021-03-31,5.87,$1.68,3.5
2020-12-31,4.54,$1.97,2.3
2020-09-30,4.39,$1.64,2.68
2020-06-30,3.87,$-1.37,0.0
2020-03-31,4.27,$-1.15,0.0
2019-12-31,6.12,$-1.24,0.0
2019-09-30,4.8,$-1.26,0.0
2019-06-30,5.08,$0.79,6.43
2018-06-30,4.1,$-0.87,0.0
2018-03-31,4.18,$-1.65,0.0
